id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ce_003_01_05_1,d_nikke_ce_003_01_05,Narration,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_1,False,Station,120,12,1.0,sfx_scn_mic,bgm_story_sunshinesorrow,,,ce_003_01,1,worry,soline,13,idle,
d_nikke_ce_003_01_05_2,d_nikke_ce_003_01_05,Narration,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_2,False,,12,12,1.0,,,,,,1,worry,,13,idle,
d_nikke_ce_003_01_05_3,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_3,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_4,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_4,False,,12,12,1.0,,,soline,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_5,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_5,True,,12,12,1.0,,,ce_003_01,,,1,surprise,,13,idle,
d_nikke_ce_003_01_05_6,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_6,True,,12,12,0.6,,,soline,,,1,surprise,,13,pain,
d_nikke_ce_003_01_05_7,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_7,True,,12,S_130,1.0,,,soline,,,1,surprise,,13,surprise,
d_nikke_ce_003_01_05_8,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_8,True,,S_130,S_130,1.0,,,soline,,,1,surprise,,13,surprise,
d_nikke_ce_003_01_05_9,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_9,True,,S_130,S_130,1.0,,,soline,,,1,surprise,,13,surprise,
d_nikke_ce_003_01_05_10,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_10,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_11,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_11,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_12,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_12,True,,S_10,12,1.0,,,soline,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_13,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_13,True,,12,12,1.0,,,soline,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_14,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_14,True,,12,12,1.0,,,soline,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_15,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_15,True,,12,12,1.0,,,soline,,,1,idle,,13,surprise,
d_nikke_ce_003_01_05_16,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_16,False,,12,S_10,1.0,,,ce_003_01,,,1,worry,,13,surprise,
d_nikke_ce_003_01_05_17,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_17,True,,S_10,S_10,1.0,,none,ce_003_01,,,1,angry,,13,surprise,
d_nikke_ce_003_01_05_18,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_18,True,,S_10,S_10,1.0,,,soline,,,1,angry,,13,shy,
d_nikke_ce_003_01_05_19,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_19,True,,S_10,S_10,1.0,,bgm_story_impression,ce_003_01,,,1,angry,,13,shy,
d_nikke_ce_003_01_05_20,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_20,True,,S_10,S_10,1.0,,,ce_003_01,,,1,angry,,13,shy,
d_nikke_ce_003_01_05_21,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_21,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,shy,
d_nikke_ce_003_01_05_22,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_22,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,shy,
d_nikke_ce_003_01_05_23,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_23,True,,S_10,12,1.0,,,soline,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_24,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_24,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_25,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_25,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_26,d_nikke_ce_003_01_05,Narration,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_26,False,,black,black,1.0,sfx_scn_hairtouch,,,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_27,d_nikke_ce_003_01_05,Narration,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_27,False,,12,12,1.0,,,,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_28,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_28,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,idle,
d_nikke_ce_003_01_05_29,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_29,True,,12,12,1.0,,,soline,,,1,idle,,13,pain,
d_nikke_ce_003_01_05_30,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_30,True,,12,12,1.0,,,soline,,,1,idle,,13,pain,
d_nikke_ce_003_01_05_31,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_31,True,,12,S_10,1.0,,,ce_003_01,,,1,worry,,13,pain,
d_nikke_ce_003_01_05_32,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_32,True,,S_10,S_10,1.0,,,ce_003_01,,,1,worry,,13,pain,
d_nikke_ce_003_01_05_33,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_33,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,pain,
d_nikke_ce_003_01_05_34,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_34,True,,S_10,S_10,1.0,,,ce_003_01,,,1,idle,,13,pain,
d_nikke_ce_003_01_05_35,d_nikke_ce_003_01_05,Speech,soline,Locale_NikkeEpisode:d_nikke_ce_003_01_05_35,True,,S_10,12,1.0,,,soline,,,1,idle,,13,shy,
d_nikke_ce_003_01_05_36,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_36,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,shy,
d_nikke_ce_003_01_05_37,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_37,True,,12,12,1.0,,,ce_003_01,,,1,idle,,13,shy,
d_nikke_ce_003_01_05_38,d_nikke_ce_003_01_05,Speech,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_05_38,True,,12,S_10,1.0,,,ce_003_01,,,1,worry,,13,shy,
