id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound
d_nikke_ludmilla_winterowner_01_1,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_1,False,RoyalRoad,6,1,1.0,bgm_story_crawlinganxiety,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_2,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_2,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_3,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_3,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_4,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_4,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_5,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_5,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_6,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_6,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_7,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_7,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_8,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_8,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_9,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_9,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_10,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_10,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_11,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_11,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_12,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_12,False,,1,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_13,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_13,False,,1,10,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_14,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_14,False,,10,10,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_15,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_15,False,,10,10,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_16,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_16,False,,10,10,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_17,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_17,False,,10,10,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_18,d_nikke_ludmilla_winterowner_01,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_18,False,,10,1,1.0,,Grey,,,,,,,
d_nikke_ludmilla_winterowner_01_19,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_19,False,,black,black,1.0,none,,unknown,unknown,,,,,
d_nikke_ludmilla_winterowner_01_20,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_20,False,HotSpringInnIn_n,black,black,1.0,,,unknown,unknown,,,,,
d_nikke_ludmilla_winterowner_01_21,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_21,True,,10,1,1.5,,,ludmilla_w,ludmilla_w,ludmilla_w,1,sad,,
d_nikke_ludmilla_winterowner_01_22,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_22,True,,1,1,1.0,event_bgm_neverland_hugme_night,,ludmilla_w,ludmilla_w,,1,sad,,
d_nikke_ludmilla_winterowner_01_23,d_nikke_ludmilla_winterowner_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_23,False,,1,1,1.0,,,ludmilla_w,,,1,sad,,
d_nikke_ludmilla_winterowner_01_24,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_24,True,,1,10,1.0,,,ludmilla_w,ludmilla_w,,1,think,,
d_nikke_ludmilla_winterowner_01_25,d_nikke_ludmilla_winterowner_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_25,True,,10,10,1.0,,,ludmilla_w,ludmilla_w,,1,think,,
d_nikke_ludmilla_winterowner_01_26,d_nikke_ludmilla_winterowner_01,Self,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_26,False,,10,10,1.0,,,ludmilla_w,,,1,think,,
d_nikke_ludmilla_winterowner_01_27,d_nikke_ludmilla_winterowner_01,Self,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_01_27,False,,10,10,1.0,,,ludmilla_w,,,1,think,,
