id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,jump_target
d_nikke_rouge_04_1,d_nikke_rouge_04,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_1,False,rouge,1,think,NikkeRoom,10,10,1.0,sfx_scn_coin,none,,,
d_nikke_rouge_04_2,d_nikke_rouge_04,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_2,False,,1,think,,10,10,1.0,sfx_scn_clap,,,,
d_nikke_rouge_04_3,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_3,False,,1,think,,10,10,1.0,,,rouge,,
d_nikke_rouge_04_4,d_nikke_rouge_04,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_4,False,,1,think,,10,10,1.0,,,,,
d_nikke_rouge_04_5,d_nikke_rouge_04,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_5,False,,1,think,,10,10,1.0,,,,,
d_nikke_rouge_04_6,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_6,True,,1,surprise,,10,100,1.0,,,rouge,,
d_nikke_rouge_04_7,d_nikke_rouge_04,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_7,False,,1,surprise,,100,100,1.0,,,,,
d_nikke_rouge_04_8,d_nikke_rouge_04,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_8,False,,1,surprise,,100,100,1.0,,bgm_story_fairytalesend_if,,,
d_nikke_rouge_04_9,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_9,True,,1,idle,,100,10,1.0,,,rouge,,
d_nikke_rouge_04_10,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_10,True,,1,idle,,10,10,1.0,,,rouge,,
d_nikke_rouge_04_11,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_11,True,,1,idle,,10,10,1.0,,,rouge,,
d_nikke_rouge_04_12,d_nikke_rouge_04,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_04_12,True,,1,idle,,10,10,1.0,,,rouge,,
