id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_mica_02_1,d_nikke_mica_02,Monologue,Locale_NikkeEpisode:d_nikke_mica_02_1,False,CommanderRoom,17,1,3.0,bgm_story_orangepop,,,,,,mica,1,worry,,,,,
d_nikke_mica_02_2,d_nikke_mica_02,Monologue,Locale_NikkeEpisode:d_nikke_mica_02_2,False,,black,black,1.0,,,,,,,,1,idle,,,,,
d_nikke_mica_02_3,d_nikke_mica_02,Narration,Locale_NikkeEpisode:d_nikke_mica_02_3,False,,black,black,1.0,,,,,,,,1,idle,mica,,,,
d_nikke_mica_02_4,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_4,True,,XS_30,XS_30,1.0,,belorta,belorta,Grey,,,,1,idle,,belorta,3,idle,
d_nikke_mica_02_5,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_5,True,,XS_30,XS_30,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_6,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_6,False,,XS_30,XS_30,1.0,,,,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_7,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_7,True,,XS_30,XS_300,0.5,,belorta,belorta,Grey,,,,1,idle,,,3,angry,
d_nikke_mica_02_8,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_8,False,,XS_300,XS_300,1.0,,,,Grey,,,,1,idle,,,3,angry,
d_nikke_mica_02_9,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_9,True,,XS_300,XS_300,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_10,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_10,True,,XS_300,XS_300,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_11,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_11,True,,XS_300,XS_300,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_12,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_12,True,,XS_300,XS_300,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_13,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_13,True,,XS_300,XS_300,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,delight,
d_nikke_mica_02_14,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_14,False,,XS_300,XS_300,1.0,,,,Grey,,,,1,idle,,,3,delight,
d_nikke_mica_02_15,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_15,True,,XS_300,XS_30,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_16,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_16,False,,XS_30,XS_30,1.0,,,,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_17,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_17,True,CommanderRoom,XS_30,XS_30,1.0,,belorta,belorta,Grey,,,,1,idle,,,3,idle,
d_nikke_mica_02_18,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_18,True,,1,1,1.0,,mica,mica,,black,,mica,1,worry,,,13,idle,belorta
d_nikke_mica_02_19,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_19,False,,1,1,1.0,,,,,,,,1,worry,,,,,
d_nikke_mica_02_20,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_20,True,,1,XS_10,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_21,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_21,False,,XS_10,XS_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_mica_02_22,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_22,False,,XS_10,XS_100,0.5,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_23,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_23,True,,XS_100,XS_100,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_24,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_24,True,,XS_100,XS_100,1.0,,mica,mica,,,,,1,worry,,,,,
d_nikke_mica_02_25,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_25,True,,XS_100,XS_100,1.0,,mica,mica,,,,,1,worry,,,,,
d_nikke_mica_02_26,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_26,False,,XS_100,XS_100,1.0,,,,,,,,1,worry,,,,,
d_nikke_mica_02_27,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_27,True,,XS_100,XS_100,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_28,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_28,True,,XS_100,XS_100,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_29,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_29,False,,XS_100,XS_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_mica_02_30,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_30,True,,XS_10,XS_10,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_31,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_31,True,,XS_10,XS_10,1.0,,mica,mica,,,,,1,idle,,,,,
d_nikke_mica_02_32,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_32,False,,XS_10,XS_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_mica_02_33,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_33,True,,XS_10,XS_10,1.0,,mica,mica,,,,,1,delight,,,,,
d_nikke_mica_02_34,d_nikke_mica_02,Monologue,Locale_NikkeEpisode:d_nikke_mica_02_34,False,,XS_10,XS_20,1.5,,,,,,,,2,idle,,,,,
d_nikke_mica_02_35,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_35,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_36,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_36,False,,XS_20,XS_20,1.0,,,,,,,,2,delight,,,,,
d_nikke_mica_02_37,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_37,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_38,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_38,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_39,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_39,False,,XS_20,XS_20,1.0,,,,,,,,2,idle,,,,,
d_nikke_mica_02_40,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_40,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_41,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_41,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_42,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_42,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_43,d_nikke_mica_02,Monologue,Locale_NikkeEpisode:d_nikke_mica_02_43,False,,XS_20,XS_200,1.0,,,,,,,,2,idle,,,,,
d_nikke_mica_02_44,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_44,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_45,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_45,False,,XS_200,XS_200,0.5,,,,,,,,2,delight,,,,,
d_nikke_mica_02_46,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_46,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_47,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_47,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_48,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_48,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_49,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_49,False,,XS_200,XS_20,1.0,,,,,,,,2,delight,,,,,
d_nikke_mica_02_50,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_50,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_51,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_51,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_52,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_52,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_53,d_nikke_mica_02,Choice,Locale_NikkeEpisode:d_nikke_mica_02_53,False,,XS_20,XS_20,1.0,,,,,,d_nikke_mica_02_55,,2,worry,,,,,
d_nikke_mica_02_54,d_nikke_mica_02,Choice,Locale_NikkeEpisode:d_nikke_mica_02_54,False,,XS_20,XS_20,1.0,,,,,,d_nikke_mica_02_62,,2,worry,,,,,
d_nikke_mica_02_55,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_55,False,,XS_20,XS_200,0.5,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_56,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_56,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_57,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_57,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_58,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_58,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_59,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_59,False,,XS_200,XS_200,1.0,,,,,,,,2,idle,,,,,
d_nikke_mica_02_60,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_60,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_61,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_61,False,,XS_200,XS_200,1.0,,,,,,d_nikke_mica_02_70,,2,worry,,,,,
d_nikke_mica_02_62,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_62,False,,XS_20,XS_200,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_63,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_63,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_64,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_64,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,delight,,,,,
d_nikke_mica_02_65,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_65,False,,XS_200,XS_200,1.0,,,,,,d_nikke_mica_02_70,,2,delight,,,,,
d_nikke_mica_02_66,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_66,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_67,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_67,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_68,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_68,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_69,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_69,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_70,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_70,True,,XS_200,XS_200,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_71,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_71,True,,XS_200,XS_20,1.0,,mica,mica,,,,,2,worry,,,,,
d_nikke_mica_02_72,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_72,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,idle,,,,,
d_nikke_mica_02_73,d_nikke_mica_02,Self,Locale_NikkeEpisode:d_nikke_mica_02_73,False,,XS_20,XS_20,1.0,,,,,,,,2,idle,,,,,
d_nikke_mica_02_74,d_nikke_mica_02,Speech,Locale_NikkeEpisode:d_nikke_mica_02_74,True,,XS_20,XS_20,1.0,,mica,mica,,,,,2,idle,,,,,
