id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,characters/0/hide_char_id,play_sound,jump_target,set_filter_01,set_filter_02
d_nikke_folkwang_01_1,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_1,True,epinel,1,idle,rumani,3,idle,Gym,XS_10,XS_10,1.0,bgm_story_whosdumber,,,,,,,
d_nikke_folkwang_01_2,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_2,True,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_3,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_3,False,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_4,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_4,True,,1,think,,3,idle,,XS_10,XS_100,2.0,,,,,,,,
d_nikke_folkwang_01_5,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_5,True,,1,think,,3,idle,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_folkwang_01_6,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_6,False,,1,think,,3,idle,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_folkwang_01_7,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_7,True,,1,idle,,3,idle,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_folkwang_01_8,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_8,True,,1,pain,,3,idle,,XS_100,XS_10,0.5,,,,,,,,
d_nikke_folkwang_01_9,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_9,True,,1,pain,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_10,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_10,False,,1,pain,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_11,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_11,True,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_12,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_12,False,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_13,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_13,True,,1,idle,,3,idle,,XS_10,2,1.0,,,,,,,,
d_nikke_folkwang_01_14,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_14,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,,
d_nikke_folkwang_01_15,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_15,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,,
d_nikke_folkwang_01_16,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_16,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,,
d_nikke_folkwang_01_17,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_17,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,,
d_nikke_folkwang_01_18,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_18,False,,1,idle,,3,idle,,2,2,1.0,,,,,,,,
d_nikke_folkwang_01_19,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_19,True,,1,idle,,3,idle,,2,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_20,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_20,True,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_21,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_21,True,,1,pain,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_22,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_22,False,,1,pain,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_23,d_nikke_folkwang_01,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_folkwang_01_23,True,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_24,d_nikke_folkwang_01,Self,epinel,,Locale_NikkeEpisode:d_nikke_folkwang_01_24,False,,1,idle,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_folkwang_01_25,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_25,False,,1,idle,,3,idle,,XS_10,L_30,1.0,,,,,,,,
d_nikke_folkwang_01_26,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_26,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,,,
d_nikke_folkwang_01_27,d_nikke_folkwang_01,Self,rumani,,Locale_NikkeEpisode:d_nikke_folkwang_01_27,False,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,,,
d_nikke_folkwang_01_28,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_28,True,,1,idle,,3,shy,,L_30,L_300,2.0,,,,,,,,
d_nikke_folkwang_01_29,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_29,True,,1,idle,,3,idle,,L_300,L_300,1.0,,,,,,,,
d_nikke_folkwang_01_30,d_nikke_folkwang_01,Speech,rumani,rumani,Locale_NikkeEpisode:d_nikke_folkwang_01_30,True,,1,idle,,3,idle,,L_300,L_300,1.0,,,,,,,,
d_nikke_folkwang_01_31,d_nikke_folkwang_01,Self,rumani,,Locale_NikkeEpisode:d_nikke_folkwang_01_31,False,,1,idle,,3,idle,,L_300,L_300,1.0,,,,,,,,
