id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_jackal_03_1,d_nikke_jackal_03,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_03_1,True,CommanderRoom,1,S_100,0.5,bgm_story_herecomestrouble,,,,,jackal,1,crazy,,neon,3,no,,anis,5,sad,,rapi,7,idle,
d_nikke_jackal_03_2,d_nikke_jackal_03,Narration,jackal,,Locale_NikkeEpisode:d_nikke_jackal_03_2,False,,S_100,S_100,1.0,,sfx_scn_trip,Low_2,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_3,d_nikke_jackal_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_jackal_03_3,False,,70,70,1.0,,,,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_4,d_nikke_jackal_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_03_4,False,,S_30,S_30,1.0,,,,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_5,d_nikke_jackal_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_03_5,False,,50,50,1.0,,,,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_6,d_nikke_jackal_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_03_6,True,,50,53,1.0,,,,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_7,d_nikke_jackal_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_03_7,True,,53,53,1.0,,,,,,,1,crazy,,,3,no,,,5,sad,,,7,idle,
d_nikke_jackal_03_8,d_nikke_jackal_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_03_8,True,,53,53,1.0,,,,,,,1,crazy,,,3,delight,,,5,sad,,,7,idle,
d_nikke_jackal_03_9,d_nikke_jackal_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_03_9,True,,53,53,1.0,,,,,,,1,crazy,,,3,delight,,,5,sad,,,7,idle,
d_nikke_jackal_03_10,d_nikke_jackal_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_03_10,True,,53,53,1.0,,,,,,,1,crazy,,,3,delight,,,5,void,,,7,idle,
