id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_ludmilla_03_1,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_1,False,BriefingRoom,10,10,1.0,none,,,ludmilla,1,idle
d_nikke_ludmilla_03_2,d_nikke_ludmilla_03,Narration,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_03_2,False,,10,1,1.0,,,,,1,idle
d_nikke_ludmilla_03_3,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_3,True,,1,1,1.0,,,,,1,idle
d_nikke_ludmilla_03_4,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_4,True,,1,1,1.0,,,,,1,idle
d_nikke_ludmilla_03_5,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_5,True,,1,1,1.0,,,,,1,idle
d_nikke_ludmilla_03_6,d_nikke_ludmilla_03,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_03_6,False,,1,1,1.0,,,,,1,idle
d_nikke_ludmilla_03_7,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_7,True,,1,10,0.5,bgm_story_orangepop,,,,1,idle
d_nikke_ludmilla_03_8,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_8,True,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_9,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_9,True,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_10,d_nikke_ludmilla_03,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_03_10,False,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_11,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_11,True,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_12,d_nikke_ludmilla_03,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_03_12,False,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_13,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_13,True,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_14,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_14,True,,10,10,1.0,,,,,1,idle
d_nikke_ludmilla_03_15,d_nikke_ludmilla_03,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_03_15,True,,10,10,1.0,,,,,1,idle
