id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_blanc_03_1,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_1,True,City_d,1,L_10,1.0,bgm_story_girlstalk,,,,,,blanc,1,idle,,,,
d_nikke_blanc_03_2,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_2,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,
d_nikke_blanc_03_3,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_3,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,
d_nikke_blanc_03_4,d_nikke_blanc_03,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_03_4,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,
d_nikke_blanc_03_5,d_nikke_blanc_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_blanc_03_5,False,Park,black,black,1.0,,,,,,,,1,idle,,,,
d_nikke_blanc_03_6,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_6,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,
d_nikke_blanc_03_7,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_7,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,
d_nikke_blanc_03_8,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_8,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,
d_nikke_blanc_03_9,d_nikke_blanc_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_blanc_03_9,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,
d_nikke_blanc_03_10,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_10,True,,L_10,1,1.0,,,,,,,,1,idle,,,,
d_nikke_blanc_03_11,d_nikke_blanc_03,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_03_11,True,,1,1,1.0,,,,,,,,1,idle,,,,
