id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_privaty_unkindmaid_03_1,d_nikke_privaty_unkindmaid_03,Narration,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_1,False,CommanderRoom,1,1,1.0,sfx_scn_autodooropen,bgm_story_sundayintheark,,,,,,,,,
d_nikke_privaty_unkindmaid_03_2,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_2,True,,1,1,1.0,,,privaty_m,privaty_m,privaty_m,1,idle,,,,
d_nikke_privaty_unkindmaid_03_3,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_3,True,,1,10,1.0,,,privaty_m,privaty_m,,1,shy2,,,,
d_nikke_privaty_unkindmaid_03_4,d_nikke_privaty_unkindmaid_03,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_4,False,,10,10,1.0,,,privaty_m,,,1,shy2,d_nikke_privaty_unkindmaid_03_6,,,
d_nikke_privaty_unkindmaid_03_5,d_nikke_privaty_unkindmaid_03,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_5,False,,10,10,1.0,,,privaty_m,,,1,shy2,d_nikke_privaty_unkindmaid_03_15,,,
d_nikke_privaty_unkindmaid_03_6,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_6,True,,10,100,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_7,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_7,True,,100,100,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_8,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_8,True,,100,100,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_9,d_nikke_privaty_unkindmaid_03,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_9,False,,100,100,1.0,,,privaty_m,,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_10,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_10,True,,100,100,1.0,,,privaty_m,privaty_m,,1,sad,,,,
d_nikke_privaty_unkindmaid_03_11,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_11,True,,100,10,1.0,,,privaty_m,privaty_m,,1,sad,,,,
d_nikke_privaty_unkindmaid_03_12,d_nikke_privaty_unkindmaid_03,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_12,False,,10,10,1.0,,,privaty_m,,,1,sad,,,,
d_nikke_privaty_unkindmaid_03_13,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_13,False,,10,100,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_14,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_14,True,,100,100,1.0,,,privaty_m,privaty_m,,1,shy,d_nikke_privaty_unkindmaid_03_33,,,
d_nikke_privaty_unkindmaid_03_15,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_15,True,,10,10,1.0,,,privaty_m,privaty_m,,1,idle,,,,
d_nikke_privaty_unkindmaid_03_16,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_16,True,,10,10,1.0,,,privaty_m,privaty_m,,1,idle,,,,
d_nikke_privaty_unkindmaid_03_17,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_17,True,,10,10,1.0,,,privaty_m,privaty_m,,1,idle,,,,
d_nikke_privaty_unkindmaid_03_18,d_nikke_privaty_unkindmaid_03,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_18,False,,10,10,1.0,,,privaty_m,,,1,idle,d_nikke_privaty_unkindmaid_03_20,,,
d_nikke_privaty_unkindmaid_03_19,d_nikke_privaty_unkindmaid_03,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_19,False,,10,10,1.0,,,privaty_m,,,1,idle,d_nikke_privaty_unkindmaid_03_24,,,
d_nikke_privaty_unkindmaid_03_20,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_20,True,,10,1,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
d_nikke_privaty_unkindmaid_03_21,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_21,True,,1,1,1.0,,,privaty_m,privaty_m,,1,sad2,,,,
d_nikke_privaty_unkindmaid_03_22,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_22,True,,1,1,1.0,,,privaty_m,privaty_m,,1,sad2,,,,
d_nikke_privaty_unkindmaid_03_23,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_23,True,,1,1,1.0,,,privaty_m,privaty_m,,1,sad2,d_nikke_privaty_unkindmaid_03_30,,,
d_nikke_privaty_unkindmaid_03_24,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_24,True,,10,10,1.0,,,privaty_m,privaty_m,,1,delight,,,,
d_nikke_privaty_unkindmaid_03_25,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_25,True,,10,10,1.0,,,privaty_m,privaty_m,,1,delight,,,,
d_nikke_privaty_unkindmaid_03_26,d_nikke_privaty_unkindmaid_03,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_26,False,,10,10,1.0,,,privaty_m,,,1,delight,,,,
d_nikke_privaty_unkindmaid_03_27,d_nikke_privaty_unkindmaid_03,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_03_27,True,,10,100,1.0,,,privaty_m,privaty_m,,1,surprise,,,,
