id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
treasurestory_frima_03_1,treasurestory_frima_03,Speech,ade,ade,Locale_NikkeEpisode:treasurestory_frima_03_1,True,MaidCafe,10,10,1.0,bgm_story_orangepop,,,ade,1,idle,frima,13,idle,cocoa,3,idle,soda,5,idle
treasurestory_frima_03_2,treasurestory_frima_03,Speech,ade,ade,Locale_NikkeEpisode:treasurestory_frima_03_2,True,,10,10,1.0,,,,,1,worried,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_3,treasurestory_frima_03,Self,,,Locale_NikkeEpisode:treasurestory_frima_03_3,False,,10,10,1.0,,,,,1,worried,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_4,treasurestory_frima_03,Speech,frima,frima,Locale_NikkeEpisode:treasurestory_frima_03_4,True,,10,12,1.0,,,,,1,worried,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_5,treasurestory_frima_03,Speech,ade,ade,Locale_NikkeEpisode:treasurestory_frima_03_5,True,,12,12,1.0,,,,,1,idle,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_6,treasurestory_frima_03,Speech,ade,ade,Locale_NikkeEpisode:treasurestory_frima_03_6,True,,12,12,1.0,,,,,1,idle,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_7,treasurestory_frima_03,Self,ade,,Locale_NikkeEpisode:treasurestory_frima_03_7,False,,12,12,1.0,,,,,1,idle,,13,idle,,3,idle,,5,idle
treasurestory_frima_03_8,treasurestory_frima_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:treasurestory_frima_03_8,True,,12,4,1.0,,,,,1,idle,,13,idle,,3,delight,,5,idle
treasurestory_frima_03_9,treasurestory_frima_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:treasurestory_frima_03_9,True,,4,4,1.0,,,,,1,idle,,13,idle,,3,delight,,5,idle
treasurestory_frima_03_10,treasurestory_frima_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_frima_03_10,True,,4,4,1.0,,,,,1,idle,,13,idle,,3,delight,,5,idle
treasurestory_frima_03_11,treasurestory_frima_03,Speech,frima,frima,Locale_NikkeEpisode:treasurestory_frima_03_11,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,delight,,5,idle
treasurestory_frima_03_12,treasurestory_frima_03,Monologue,frima,,Locale_NikkeEpisode:treasurestory_frima_03_12,True,,black,black,2.5,,,,,1,idle,,7,idle,,3,delight,,5,idle
treasurestory_frima_03_13,treasurestory_frima_03,Speech,frima,frima,Locale_NikkeEpisode:treasurestory_frima_03_13,True,,6,6,1.0,,,,,1,idle,,7,idle,,3,delight,,5,idle
treasurestory_frima_03_14,treasurestory_frima_03,Narration,frima,,Locale_NikkeEpisode:treasurestory_frima_03_14,False,,6,6,1.0,,sfx_scn_poke,,,1,idle,,7,idle,,3,delight,,5,idle
treasurestory_frima_03_15,treasurestory_frima_03,Monologue,frima,,Locale_NikkeEpisode:treasurestory_frima_03_15,False,,6,6,1.0,,,,,1,idle,,7,idle,,3,delight,,5,idle
treasurestory_frima_03_16,treasurestory_frima_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_frima_03_16,True,,6,S_50,1.0,,,Low_2,,1,idle,,7,idle,,3,delight,,5,shy
treasurestory_frima_03_17,treasurestory_frima_03,Narration,soda,,Locale_NikkeEpisode:treasurestory_frima_03_17,False,,S_50,S_500,1.0,,sfx_scn_poke2,,,1,idle,,7,idle,,3,delight,,5,shy
