id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id
d_nikke_laplace_05_1,d_nikke_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_05_1,True,laplace,7,angry,ShoppingMall,S_70,S_70,1.0,none,,,,,,,,,,,,,
d_nikke_laplace_05_2,d_nikke_laplace_05,Narration,,,Locale_NikkeEpisode:d_nikke_laplace_05_2,False,,7,angry,,S_70,S_70,1.0,,Low_2,,,,,,,,,,,,
d_nikke_laplace_05_3,d_nikke_laplace_05,Monologue,,,Locale_NikkeEpisode:d_nikke_laplace_05_3,False,,1,angry,,S_70,S_10,1.0,bgm_story_armageddon,,,,,,,,,,,,,
d_nikke_laplace_05_4,d_nikke_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_05_4,True,,1,angry,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_5,d_nikke_laplace_05,Narration,,,Locale_NikkeEpisode:d_nikke_laplace_05_5,False,,1,angry,,S_10,S_100,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_6,d_nikke_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_05_6,True,,1,angry,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_7,d_nikke_laplace_05,Narration,laplace,,Locale_NikkeEpisode:d_nikke_laplace_05_7,False,,1,angry,,S_100,S_100,1.0,,Low_2,sfx_scn_3dive,,,,,,,,,,,
d_nikke_laplace_05_8,d_nikke_laplace_05,Monologue,laplace,,Locale_NikkeEpisode:d_nikke_laplace_05_8,False,,1,angry,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_9,d_nikke_laplace_05,Narration,laplace,,Locale_NikkeEpisode:d_nikke_laplace_05_9,False,,1,angry,,S_100,1,1.0,,,sfx_scn_piperupture,,,,,,,,,,,
d_nikke_laplace_05_10,d_nikke_laplace_05,Monologue,laplace,,Locale_NikkeEpisode:d_nikke_laplace_05_10,False,,1,angry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_11,d_nikke_laplace_05,Speech,arsonist,arsonist,Locale_NikkeEpisode:d_nikke_laplace_05_11,True,,1,angry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_12,d_nikke_laplace_05,Speech,arsonist,arsonist,Locale_NikkeEpisode:d_nikke_laplace_05_12,True,,1,angry,,1,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_13,d_nikke_laplace_05,Monologue,,,Locale_NikkeEpisode:d_nikke_laplace_05_13,False,,1,angry,,5,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_14,d_nikke_laplace_05,Speech,arsonist,arsonist,Locale_NikkeEpisode:d_nikke_laplace_05_14,True,,1,angry,,5,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_15,d_nikke_laplace_05,Speech,arsonist,arsonist,Locale_NikkeEpisode:d_nikke_laplace_05_15,True,,1,angry,,5,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_16,d_nikke_laplace_05,Speech,arsonist,arsonist,Locale_NikkeEpisode:d_nikke_laplace_05_16,True,,1,angry,,5,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_17,d_nikke_laplace_05,Self,,,Locale_NikkeEpisode:d_nikke_laplace_05_17,False,,1,angry,,5,5,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_18,d_nikke_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_05_18,True,,1,angry,,5,1,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_19,d_nikke_laplace_05,Narration,,,Locale_NikkeEpisode:d_nikke_laplace_05_19,False,,1,angry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_20,d_nikke_laplace_05,Monologue,,,Locale_NikkeEpisode:d_nikke_laplace_05_20,False,,1,angry,,1,S_10,1.0,,,,,,,,,,,,,,
d_nikke_laplace_05_21,d_nikke_laplace_05,Self,,,Locale_NikkeEpisode:d_nikke_laplace_05_21,False,,1,angry,,S_10,S_10,1.0,none,,,,,,,,,,,,,
