id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,conversation_id
d_nikke_ce005_01_05_1,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_1,True,ce005_01,1,idle,TemporaryCamp_r,1,1,1.0,bgm_story_inwonderland,,,
d_nikke_ce005_01_05_2,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_2,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_3,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_3,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_4,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_4,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_5,d_nikke_ce005_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce005_01_05_5,False,,1,idle,,black,black,1.0,,ce005_01,white,
d_nikke_ce005_01_05_6,d_nikke_ce005_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce005_01_05_6,False,,1,idle,,black,black,1.0,,,,
d_nikke_ce005_01_05_7,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_7,False,ce005_01,1,idle,TemporaryCamp_r,1,1,1.0,,,white,
d_nikke_ce005_01_05_8,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_8,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_9,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_9,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_10,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_10,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_11,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_11,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_12,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_12,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_13,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_13,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_14,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_14,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_15,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_15,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_16,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_16,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_17,d_nikke_ce005_01_05,Self,,,Locale_NikkeEpisode:d_nikke_ce005_01_05_17,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_18,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_18,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_19,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_19,True,,1,idle,ocean_r_2,1,1,1.0,,,,
d_nikke_ce005_01_05_20,d_nikke_ce005_01_05,Self,,,Locale_NikkeEpisode:d_nikke_ce005_01_05_20,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_21,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_21,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_22,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_22,True,,1,shy,,1,10,1.0,,,,
d_nikke_ce005_01_05_23,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_23,False,,1,shy,,10,10,1.0,,,,
d_nikke_ce005_01_05_24,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_24,False,,1,shy,,10,10,1.0,,,,
d_nikke_ce005_01_05_25,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_25,True,,1,idle,,10,10,1.0,,,,
d_nikke_ce005_01_05_26,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_26,True,,1,delight,,10,10,1.0,,,,
d_nikke_ce005_01_05_27,d_nikke_ce005_01_05,Narration,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_27,True,,1,delight,,10,1,1.0,,,,
d_nikke_ce005_01_05_28,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_28,False,,1,delight,,1,1,1.0,,,,
d_nikke_ce005_01_05_29,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_29,False,,1,delight,,1,1,1.0,,,,
d_nikke_ce005_01_05_30,d_nikke_ce005_01_05,Narration,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_30,False,,1,delight,,1,1,1.0,,,,m_nikke_ce005_01_05
d_nikke_ce005_01_05_31,d_nikke_ce005_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce005_01_05_31,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_32,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_32,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_33,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_33,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_34,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_34,True,,1,delight,,1,1,1.0,,,,
d_nikke_ce005_01_05_35,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_35,True,,1,delight,,1,1,1.0,,,,
d_nikke_ce005_01_05_36,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_36,True,,1,delight,,1,1,1.0,,,,
d_nikke_ce005_01_05_37,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_37,False,,1,idle,,1,1,1.0,,,,
