id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,jump_target,fade
d_nikke_c_2_02_1,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_1,True,drake,1,idle,c_2,13,smile,City_d,113,113,1.0,bgm_story_whosdumber,,,,,,,,,,,
d_nikke_c_2_02_2,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_2,True,,1,idle,,13,smile,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_3,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_3,True,,1,idle,,13,smile,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_4,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_4,True,,1,idle,,13,delight,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_5,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_5,True,,1,idle,,13,delight,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_6,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_6,True,,1,idle,,13,smile,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_7,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_7,True,,1,no,,13,smile,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_8,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_8,True,,1,no,,13,smile,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_9,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_9,True,,1,no,,13,sad,,113,113,1.0,,,,,,,,,,,,
d_nikke_c_2_02_10,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_10,True,,1,no,,13,sad,,113,1,1.0,,,,,,,,,,,,
d_nikke_c_2_02_11,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_11,True,,1,no,,13,sad,,1,10,0.5,none,,,,,,,,,,,
d_nikke_c_2_02_12,d_nikke_c_2_02,Self,,,Locale_NikkeEpisode:d_nikke_c_2_02_12,False,,1,no,,13,sad,,10,10,1.0,,,,,,,,,,,,
d_nikke_c_2_02_13,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_13,True,,1,no,,13,smile,,10,130,1.0,,,,,,,,,,,,
d_nikke_c_2_02_14,d_nikke_c_2_02,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_02_14,False,,1,no,,13,smile,,130,1300,1.0,,sfx_scn_3step,,,,,,,,,,
d_nikke_c_2_02_15,d_nikke_c_2_02,Narration,,,Locale_NikkeEpisode:d_nikke_c_2_02_15,False,,1,no,,13,smile,,1300,1300,1.0,,sfx_scn_dooropenfast,,,,,,,,,,
d_nikke_c_2_02_16,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_16,True,,1,angry,,13,smile,,100,100,1.0,,,,,,,,,,,,
d_nikke_c_2_02_17,d_nikke_c_2_02,Narration,,,Locale_NikkeEpisode:d_nikke_c_2_02_17,False,,1,angry,,13,smile,Police,black,black,1.0,,,,,,,,,,,,
d_nikke_c_2_02_18,d_nikke_c_2_02,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_02_18,True,,1,angry,,13,sad,,1300,1300,1.0,bgm_story_whosdumber,,,,,,,,,,,
d_nikke_c_2_02_19,d_nikke_c_2_02,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_02_19,False,,1,angry,,13,sad,,1300,1700,2.0,,,,,,,,,,,,
d_nikke_c_2_02_20,d_nikke_c_2_02,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_02_20,False,,1,angry,,13,sad,,1700,1700,1.0,,,,,,,,,,,,
d_nikke_c_2_02_21,d_nikke_c_2_02,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_02_21,False,,1,angry,,13,sad,,1700,1700,1.0,,,,,,,,,,,,
d_nikke_c_2_02_22,d_nikke_c_2_02,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_02_22,False,,1,angry,,13,sad,,1700,1700,1.0,,,,,,,,,,,,
d_nikke_c_2_02_23,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_23,False,,1,idle,,13,sad,,100,100,1.0,,,,,,,,,,,,
d_nikke_c_2_02_24,d_nikke_c_2_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_02_24,True,,1,delight,,13,sad,,100,10,1.0,,,,,,,,,,,,
