id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,conversation_id,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_exia_02_1,d_nikke_exia_02,Narration,Locale_NikkeEpisode:d_nikke_exia_02_1,False,CommanderRoom,10,10,1.0,bgm_story_epicjazzymoods,,,,,,,exia,1,idle,
d_nikke_exia_02_2,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_2,False,,10,10,1.0,,exia,exia,,,,,,1,"expression_0,idle",
d_nikke_exia_02_3,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_3,False,,10,10,1.0,,exia,,,,,,,1,idle,
d_nikke_exia_02_4,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_4,True,,10,10,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_5,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_5,False,,10,10,1.0,,exia,,,,,,,1,delight,
d_nikke_exia_02_6,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_6,True,,10,10,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_7,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_7,True,,10,10,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_8,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_8,True,,10,S_100,0.5,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_9,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_9,False,,10,10,1.0,,exia,,d_nikke_exia_02_11,,,,,1,delight,
d_nikke_exia_02_10,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_10,False,,10,10,1.0,,exia,,d_nikke_exia_02_13,,,,,1,delight,
d_nikke_exia_02_11,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_11,True,,10,10,1.0,,exia,exia,,,,,,1,good,
d_nikke_exia_02_12,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_12,True,,10,10,1.0,,exia,exia,d_nikke_exia_02_13,,,,,1,good,
d_nikke_exia_02_13,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_13,False,,10,10,1.0,,exia,exia,,,,,,1,"expression_0,idle",
d_nikke_exia_02_14,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_14,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_15,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_15,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_16,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_16,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_17,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_17,False,,10,10,1.0,,exia,,d_nikke_exia_02_19,,,,,1,idle,
d_nikke_exia_02_18,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_18,False,,10,10,1.0,,exia,,d_nikke_exia_02_21,,,,,1,idle,
d_nikke_exia_02_19,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_19,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_20,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_20,True,,10,10,1.0,,exia,exia,d_nikke_exia_02_22,,,,,1,good,
d_nikke_exia_02_21,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_21,True,,10,10,1.0,,exia,exia,d_nikke_exia_02_22,,,,,1,good,
d_nikke_exia_02_22,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_22,True,,10,10,1.0,,exia,exia,,,,,,1,good,
d_nikke_exia_02_23,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_23,False,,10,10,1.0,,exia,,d_nikke_exia_02_25,,,,,1,good,
d_nikke_exia_02_24,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_24,False,,10,10,1.0,,exia,,d_nikke_exia_02_25,,,,,1,good,
