id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/2/hide_char_id,conversation_id,set_filter_01,fade,set_camera_shake
d_nikke_novel_01_1,d_nikke_novel_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_01_1,False,RoyalRoad,black,black,1.0,none,,,,,,,,,,,,,,,,,,,
d_nikke_novel_01_2,d_nikke_novel_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_01_2,False,,15,1,2.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,
d_nikke_novel_01_3,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_3,True,,1,1,1.0,,novel,novel,1,idle,,,,,,,,,,,,,,,
d_nikke_novel_01_4,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_4,True,,1,1,1.0,,novel,,1,idle,,,,,,,,,,,,,,,
d_nikke_novel_01_5,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_5,True,,1,1,1.0,,novel,,1,think,,,,,,,,,,,,,,,
d_nikke_novel_01_6,d_nikke_novel_01,Choice,,Locale_NikkeEpisode:d_nikke_novel_01_6,False,,1,1,1.0,,novel,,1,think,d_nikke_novel_01_8,,,,,,,,,,,,,,
d_nikke_novel_01_7,d_nikke_novel_01,Choice,,Locale_NikkeEpisode:d_nikke_novel_01_7,False,,1,1,1.0,,novel,,1,think,d_nikke_novel_01_10,,,,,,,,,,,,,,
d_nikke_novel_01_8,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_8,False,,1,S_10,0.5,,novel,,1,think,,,,,,,,,,,,,,,
d_nikke_novel_01_9,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_9,True,,S_10,S_10,1.0,,novel,,1,think,d_nikke_novel_01_12,,,,,,,,,,,,,,
d_nikke_novel_01_10,d_nikke_novel_01,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_01_10,False,,1,S_10,1.0,,novel,,1,think,,,,,,,,,,,,,,,
