id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_yuni_02_1,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_1,False,Bar,1,S_10,0.5,sfx_scn_whip,bgm_story_whosdumber,Low_2,,sugar,1,idle,
d_nikke_yuni_02_2,d_nikke_yuni_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_yuni_02_2,False,,S_10,S_100,0.5,,,,,,1,idle,
d_nikke_yuni_02_3,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_3,False,TechIndoor,1,S_10,0.5,sfx_scn_whip,,Low_2,,exia,1,idle,sugar
d_nikke_yuni_02_4,d_nikke_yuni_02,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_yuni_02_4,True,,S_10,S_100,0.5,,,,,,1,idle,
d_nikke_yuni_02_5,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_5,False,Office,1,10,0.5,sfx_scn_whip,,Low_2,,maxwell,1,idle,exia
d_nikke_yuni_02_6,d_nikke_yuni_02,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_yuni_02_6,True,,10,100,0.5,,,,,,1,idle,
d_nikke_yuni_02_7,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_7,False,Armory,1,S_10,0.5,sfx_scn_whip,,Low_2,,vesti,1,idle,maxwell
d_nikke_yuni_02_8,d_nikke_yuni_02,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_yuni_02_8,False,,S_10,S_100,0.5,,,,,,1,idle,
d_nikke_yuni_02_9,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_9,False,,black,black,1.0,sfx_scn_whip,,Low_2,,,1,idle,vesti
d_nikke_yuni_02_10,d_nikke_yuni_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_10,False,,black,black,1.0,sfx_scn_whip,,Low_2,,,,,
d_nikke_yuni_02_11,d_nikke_yuni_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_yuni_02_11,False,,black,black,1.0,,,,,,,,
d_nikke_yuni_02_12,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_12,False,Backstreet,1,1,1.0,,,,,yuni,1,think,
d_nikke_yuni_02_13,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_13,True,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_14,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_14,False,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_15,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_15,True,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_16,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_16,False,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_17,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_17,True,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_18,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_18,False,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_19,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_19,True,,1,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_20,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_20,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_21,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_21,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_22,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_22,True,,S_10,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_23,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_23,True,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_24,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_24,False,,1,1,1.0,,,,,,1,idle,
d_nikke_yuni_02_25,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_25,False,,1,S_10,3.0,,,,,,1,idle,
d_nikke_yuni_02_26,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_26,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_27,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_27,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_28,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_28,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_29,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_29,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_30,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_30,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_31,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_31,True,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_yuni_02_32,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_32,True,,S_10,S_10,1.0,,,,,,1,shy,
d_nikke_yuni_02_33,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_33,True,,S_10,S_100,3.0,,,,,,1,shy,
d_nikke_yuni_02_34,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_34,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_yuni_02_35,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_35,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_yuni_02_36,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_36,True,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_37,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_37,True,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_38,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_38,False,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_39,d_nikke_yuni_02,Narration,yuni,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_39,False,,S_100,S_100,1.0,sfx_scn_whip,,Low_2,,,1,shy,
d_nikke_yuni_02_40,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_40,False,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_41,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_41,False,,S_100,S_10,3.0,,,,,,1,surprise,
d_nikke_yuni_02_42,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_42,True,,S_10,S_10,1.0,,,,,,1,shy,
d_nikke_yuni_02_43,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_43,True,,S_10,S_10,1.0,,,,,,1,shy,
d_nikke_yuni_02_44,d_nikke_yuni_02,Narration,yuni,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_44,False,,S_10,S_100,1.0,sfx_scn_whip,,Low_2,,,1,shy,
d_nikke_yuni_02_45,d_nikke_yuni_02,Self,yuni,Self,Locale_NikkeEpisode:d_nikke_yuni_02_45,False,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_46,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_46,True,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_47,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_47,True,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_48,d_nikke_yuni_02,Choice,Choice,,Locale_NikkeEpisode:d_nikke_yuni_02_48,False,,S_100,S_100,1.0,,,,d_nikke_yuni_02_50,,1,shy,
d_nikke_yuni_02_49,d_nikke_yuni_02,Choice,Choice,,Locale_NikkeEpisode:d_nikke_yuni_02_49,False,,S_100,S_100,1.0,,,,d_nikke_yuni_02_54,,1,shy,
d_nikke_yuni_02_50,d_nikke_yuni_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_yuni_02_50,False,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_yuni_02_51,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_51,False,,S_100,S_100,1.0,,,,,,1,think,
d_nikke_yuni_02_52,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_52,True,,S_100,S_100,1.0,,,,,,1,think,
d_nikke_yuni_02_53,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_53,True,,S_100,S_100,1.0,,,,d_nikke_yuni_02_58,,1,think,
d_nikke_yuni_02_54,d_nikke_yuni_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_yuni_02_54,False,,S_100,S_100,1.0,,,,,,1,think,
d_nikke_yuni_02_55,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_55,True,,S_100,S_100,1.0,,,,,,1,think,
d_nikke_yuni_02_56,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_56,True,,S_100,S_100,1.0,,,,,,1,think,
d_nikke_yuni_02_57,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_57,True,,S_100,S_100,1.0,,,,d_nikke_yuni_02_58,,1,think,
d_nikke_yuni_02_58,d_nikke_yuni_02,Narration,yuni,Narration,Locale_NikkeEpisode:d_nikke_yuni_02_58,False,,S_100,S_100,1.0,sfx_scn_whip,,Low_2,,,1,think,
d_nikke_yuni_02_59,d_nikke_yuni_02,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_02_59,True,,S_100,S_100,1.0,,,,,,1,shy,
