id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,set_filter_02,play_sound,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_rosanna_04_1,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_1,True,rosanna,1,idle,Restaurant,1,1,1.0,event_bgm_queensorder,,,,,,,
d_nikke_rosanna_04_2,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_2,True,,1,idle,,1,10,1.0,,,,,,,,
d_nikke_rosanna_04_3,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_3,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_4,d_nikke_rosanna_04,Choice,,,Locale_NikkeEpisode:d_nikke_rosanna_04_4,False,,1,idle,,10,10,1.0,,d_nikke_rosanna_04_6,,,,,,
d_nikke_rosanna_04_5,d_nikke_rosanna_04,Choice,,,Locale_NikkeEpisode:d_nikke_rosanna_04_5,False,,1,idle,,10,10,1.0,,d_nikke_rosanna_04_24,,,,,,
d_nikke_rosanna_04_6,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_6,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_7,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_7,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_8,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_8,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_9,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_9,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_10,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_10,True,,1,good,,10,100,1.8,,,,,,,,
d_nikke_rosanna_04_11,d_nikke_rosanna_04,Self,,,Locale_NikkeEpisode:d_nikke_rosanna_04_11,False,,1,good,,100,100,1.0,,,,,,,,
d_nikke_rosanna_04_12,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_12,True,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_rosanna_04_13,d_nikke_rosanna_04,Self,,,Locale_NikkeEpisode:d_nikke_rosanna_04_13,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_rosanna_04_14,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_14,True,,1,idle,,100,10,1.0,,,,,,,,
d_nikke_rosanna_04_15,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_15,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_rosanna_04_16,d_nikke_rosanna_04,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_04_16,True,,1,idle,ArkRuinIndoor,10,170,1.0,,,Grey,Vignetting,,,,
