id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_quency_04_1,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_1,True,Jail,10,10,1.0,bgm_story_breakaway,,,,,,quency,1,idle,
d_nikke_quency_04_2,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_2,False,,10,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_3,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_3,True,,10,100,1.0,,,,,,,,1,surprise,
d_nikke_quency_04_4,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_4,True,,100,100,1.0,,,,,,,,1,surprise,
d_nikke_quency_04_5,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_5,True,,100,100,1.0,,,,,,,,1,surprise,
d_nikke_quency_04_6,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_6,False,,100,100,1.0,,,,,,,,1,surprise,
d_nikke_quency_04_7,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_7,True,,100,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_8,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_8,False,,10,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_9,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_9,True,,10,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_10,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_10,True,,10,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_11,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_11,True,,10,10,1.0,,,,,,,,1,idle,
d_nikke_quency_04_12,d_nikke_quency_04,Narration,,,Locale_NikkeEpisode:d_nikke_quency_04_12,False,,10,1,1.0,,,,,,,,1,idle,
d_nikke_quency_04_13,d_nikke_quency_04,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_04_13,False,,1,1,1.0,,,,,,,,1,idle,
d_nikke_quency_04_14,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_14,False,,1,1,1.0,,,,,,,,1,idle,
d_nikke_quency_04_15,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_15,True,,1,1,1.0,,,,,,,,1,idle,quency
d_nikke_quency_04_16,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_16,False,,1,1,1.0,,,,,,,,,idle,
d_nikke_quency_04_17,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_17,True,,1,10,1.0,,,,,,,,,idle,
d_nikke_quency_04_18,d_nikke_quency_04,Narration,,,Locale_NikkeEpisode:d_nikke_quency_04_18,False,Drain,black,black,1.0,,,,,,,quency,3,idle,
d_nikke_quency_04_19,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_19,False,,30,30,1.0,,,,,,,,3,idle,
d_nikke_quency_04_20,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_20,True,,30,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_21,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_21,True,,3,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_22,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_22,False,,3,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_23,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_23,True,,3,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_24,d_nikke_quency_04,Choice,,,Locale_NikkeEpisode:d_nikke_quency_04_24,False,,3,3,1.0,,d_nikke_quency_04_26,,,,,,3,idle,
d_nikke_quency_04_25,d_nikke_quency_04,Choice,,,Locale_NikkeEpisode:d_nikke_quency_04_25,False,,3,3,1.0,,d_nikke_quency_04_26,,,,,,3,idle,
d_nikke_quency_04_26,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_26,True,,3,3,1.0,,,,,,,,3,surprise,
d_nikke_quency_04_27,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_27,True,,3,3,1.0,,,,,,,,3,surprise,
d_nikke_quency_04_28,d_nikke_quency_04,Narration,,,Locale_NikkeEpisode:d_nikke_quency_04_28,False,,3,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_29,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_29,False,,3,3,1.0,,,,,,,,3,idle,
d_nikke_quency_04_30,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_30,True,,3,30,1.0,,,,,,,,3,delight,
d_nikke_quency_04_31,d_nikke_quency_04,Narration,,,Locale_NikkeEpisode:d_nikke_quency_04_31,False,,30,30,1.0,,,,,,,,3,delight,
d_nikke_quency_04_32,d_nikke_quency_04,Self,,,Locale_NikkeEpisode:d_nikke_quency_04_32,False,,30,30,1.0,,,,,,,,3,delight,
d_nikke_quency_04_33,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_33,True,,30,30,1.0,,,,,,,,3,idle,
d_nikke_quency_04_34,d_nikke_quency_04,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_04_34,True,,30,30,1.0,,,,,,,,3,surprise,
