id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,fade,play_sound,set_camera_shake,set_filter_01
d_nikke_harran_02_1,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_1,False,Desert_02,15,1,2.0,bgm_recognition,,,,,,,,,,
d_nikke_harran_02_2,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_2,False,,1,1,1.0,,,,,,,,,,,
d_nikke_harran_02_3,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_3,False,,black,black,1.0,,,,,,,,,,,
d_nikke_harran_02_4,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_4,True,,black,black,1.0,,harran,harran,1,idle,,,,,,
d_nikke_harran_02_5,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_5,True,,1,10,2.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_6,d_nikke_harran_02,Choice,harran,Locale_NikkeEpisode:d_nikke_harran_02_6,False,,10,10,1.0,,,,1,idle,d_nikke_harran_02_8,,,,,
d_nikke_harran_02_7,d_nikke_harran_02,Choice,harran,Locale_NikkeEpisode:d_nikke_harran_02_7,False,,10,10,1.0,,,,1,idle,d_nikke_harran_02_10,,,,,
d_nikke_harran_02_8,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_8,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_9,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_9,False,,10,10,1.0,,,,1,idle,d_nikke_harran_02_11,,,,,
d_nikke_harran_02_10,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_10,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_11,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_11,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_12,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_12,False,,10,10,1.0,,,,1,idle,,,,,,
d_nikke_harran_02_13,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_13,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_14,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_14,True,,10,100,2.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_15,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_15,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_16,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_16,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_17,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_17,False,,100,100,1.0,,,,1,idle,,,,,,
d_nikke_harran_02_18,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_18,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_19,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_19,False,,100,1,2.0,,,,1,idle,,harran,,,,
d_nikke_harran_02_20,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_20,False,,black,black,1.0,,,,,,,,,,,
d_nikke_harran_02_21,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_21,True,Desert_03,1,10,1.0,none,harran,harran,1,idle,,,black,,,
d_nikke_harran_02_22,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_22,True,,10,10,1.0,,harran,,1,special,,,,,,
d_nikke_harran_02_23,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_23,False,,10,170,3.0,,,,1,special,,,,,,
d_nikke_harran_02_24,d_nikke_harran_02,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_02_24,False,,170,10,3.0,,,,1,idle,,,,,,
d_nikke_harran_02_25,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_25,False,,10,10,1.0,bgm_story_epicjazzymoods,,,1,idle,,,,,,
d_nikke_harran_02_26,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_26,True,,10,100,2.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_27,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_27,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_28,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_28,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_29,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_29,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_30,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_30,False,,100,100,1.0,,,,1,idle,,,,,,
d_nikke_harran_02_31,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_31,True,,100,100,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_32,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_32,False,,100,100,1.0,,,,1,idle,,,,,,
d_nikke_harran_02_33,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_33,True,,100,10,2.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_34,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_34,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_35,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_35,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_36,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_36,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_37,d_nikke_harran_02,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_02_37,True,,10,10,1.0,,harran,,1,idle,,,,,,
d_nikke_harran_02_38,d_nikke_harran_02,Self,harran,Locale_NikkeEpisode:d_nikke_harran_02_38,False,,10,10,1.0,,,,1,idle,,,,,,
