id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_ade_agentbunny_04_1,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_1,True,MaidCafe,10,10,1.0,bgm_story_overjoy,,,ade_b,1,surprise
d_nikke_ade_agentbunny_04_2,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_2,True,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_3,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_3,True,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_4,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_4,True,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_5,d_nikke_ade_agentbunny_04,Self,ade_b,,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_5,False,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_6,d_nikke_ade_agentbunny_04,Self,ade_b,,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_6,False,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_7,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_7,True,,10,10,1.0,,,,,1,surprise
d_nikke_ade_agentbunny_04_8,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_8,True,,10,10,1.0,,,,,1,idle
d_nikke_ade_agentbunny_04_9,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_9,True,,10,10,1.0,,,,,1,idle
d_nikke_ade_agentbunny_04_10,d_nikke_ade_agentbunny_04,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_04_10,True,,10,10,1.0,,,,,1,idle
