id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound,set_filter_01,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
d_nikke_quency_02_1,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_1,True,mana,1,idle,JailCorridor,10,10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
d_nikke_quency_02_2,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_2,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_3,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_3,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_4,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_4,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_5,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_5,True,,1,idle,,10,100,1.0,,,,,,,,,,,
d_nikke_quency_02_6,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_6,True,,1,idle,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_7,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_7,False,,1,idle,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_8,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_8,True,,1,idle,,100,10,1.0,,,,,,,,,,,
d_nikke_quency_02_9,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_9,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_10,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_10,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_11,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_11,False,,1,idle,,10,10,1.0,,d_nikke_quency_02_13,,,,,,,,,
d_nikke_quency_02_12,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_12,False,,1,idle,,10,10,1.0,,d_nikke_quency_02_13,,,,,,,,,
d_nikke_quency_02_13,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_13,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_14,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_14,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_15,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_15,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_16,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_16,True,,1,idle,,10,1,1.0,,,,,,,,,,,
d_nikke_quency_02_17,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_17,False,,1,idle,Jail,black,black,1.0,none,,mana,sfx_scn_rustydooropen,,,,,,,
d_nikke_quency_02_18,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_18,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_19,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_19,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_20,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_20,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_21,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_21,False,,,,,1,1,1.0,,,,,,,,,,,
