id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,conversation_id,characters/0/hide_char_id,jump_target,set_filter_01
d_nikke_exia_01_1,d_nikke_exia_01,Speech,gamespeaker,Locale_NikkeEpisode:d_nikke_exia_01_1,False,CommanderRoom,1,1,1.0,bgm_story_leisuretime,,,,,,,,,,
d_nikke_exia_01_2,d_nikke_exia_01,Speech,gamespeaker,Locale_NikkeEpisode:d_nikke_exia_01_2,False,,1,1,0.5,,sfx_scn_explosions,Low_2,,,,,,,,
d_nikke_exia_01_3,d_nikke_exia_01,Speech,gamespeaker,Locale_NikkeEpisode:d_nikke_exia_01_3,False,White,1,1,1.0,,,Low_2,,,,,,,,
d_nikke_exia_01_4,d_nikke_exia_01,Speech,gamespeaker,Locale_NikkeEpisode:d_nikke_exia_01_4,False,CommanderRoom,1,1,1.0,,sfx_scn_fanfare,,,,,,,,,
d_nikke_exia_01_5,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_5,True,,1,1,1.0,,,,exia,exia,1,idle,,,,
d_nikke_exia_01_6,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_6,True,,1,1,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_7,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_7,True,,1,1,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_8,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_8,False,,1,1,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_9,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_9,False,,1,1,1.0,,sfx_scn_phonevibration,,exia,,1,idle,m_nikke_exia_01_01,,,
d_nikke_exia_01_10,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_10,False,,black,black,1.0,bgm_story_heynewbie,,,exia,,1,idle,,exia,,
d_nikke_exia_01_11,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_11,True,,1,1,1.0,,,,exia,exia,1,idle,,,,
d_nikke_exia_01_12,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_12,True,,1,1,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_13,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_13,True,,1,1,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_14,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_14,False,,1,1,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_16,
d_nikke_exia_01_15,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_15,False,,1,1,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_22,
d_nikke_exia_01_16,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_16,True,,1,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_17,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_17,True,,10,10,0.3,,,,exia,,1,idle,,,,
d_nikke_exia_01_18,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_18,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_19,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_19,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_20,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_20,False,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_21,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_21,True,,10,10,1.0,,,,exia,,1,good,,,d_nikke_exia_01_23,
d_nikke_exia_01_22,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_22,True,,1,10,1.0,,,,exia,,1,good,,,d_nikke_exia_01_23,
d_nikke_exia_01_23,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_23,True,,10,10,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_24,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_24,True,,10,10,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_25,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_25,False,none,black,black,1.0,,,,,,1,delight,,exia,,
