id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_RedHood_01_1,d_nikke_RedHood_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_RedHood_01_1,False,Desert_02_n,170,170,1.0,none,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_2,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_2,False,,170,170,1.0,event_bgm_redash_alldownhill,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_3,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_3,False,,170,17,0.3,,Grey,Blur_High,sfx_scn_blanket,,,,,,,,,,,
d_nikke_RedHood_01_4,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_4,False,,17,19,0.7,,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_5,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_5,False,,19,19,1.0,,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_6,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_6,False,,19,15,0.7,,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_7,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_7,True,,15,1,1.0,,Grey,Blur_High,,redhood,,,,,,,,,,
d_nikke_RedHood_01_8,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_8,False,,1,1,1.0,,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_9,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_9,False,,1,1,1.0,,Grey,Blur_High,,,,,,,,,,,,
d_nikke_RedHood_01_10,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_10,True,,1,10,1.0,,Grey,Blur_High,,redhood,redhood,1,worry,,,,,,,
