id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade
d_nikke_ce004_02_03_1,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_1,True,ce004_02_s,12,idle,ein,2,surprise,ShoppingMall,1,1,1.0,bgm_story_girlstalk,,,,,
d_nikke_ce004_02_03_2,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_2,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_3,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_3,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_4,d_nikke_ce004_02_03,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_03_4,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_5,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_5,True,,12,idle,,2,idle,,1,20,1.0,,,,,,
d_nikke_ce004_02_03_6,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_6,True,,12,idle,,2,idle,,20,20,1.0,,,,,,
d_nikke_ce004_02_03_7,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_7,True,,12,idle,,2,delight,,20,20,1.0,,,,,,
d_nikke_ce004_02_03_8,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_8,True,,12,idle,,2,delight,,20,20,1.0,,,,,,
d_nikke_ce004_02_03_9,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_9,True,,12,idle,,2,delight,,20,20,1.0,,,,,,
d_nikke_ce004_02_03_10,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_10,True,,12,idle,,2,delight,,20,200,1.0,none,,,,,
