id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_02_02_1,d_nikke_ce_02_02_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_02_1,False,Factory,2,2,1.0,event_bgm_ce002_story_3,,,p12,1,idle,,ce_02_02,3,idle
d_nikke_ce_02_02_02_2,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_2,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_3,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_3,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_4,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_4,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_5,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_5,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_6,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_6,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,think
d_nikke_ce_02_02_02_7,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_7,True,,2,2,1.0,,p12,,,1,idle,,,3,think
d_nikke_ce_02_02_02_8,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_8,True,,2,2,1.0,,p12,,,1,idle,,,3,think
d_nikke_ce_02_02_02_9,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_9,False,,2,2,1.0,,ce_02_02,,,1,idle,,,3,think
d_nikke_ce_02_02_02_10,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_10,False,,2,2,1.0,,,sfx_scn_running,,1,idle,p12,,3,think
d_nikke_ce_02_02_02_11,d_nikke_ce_02_02_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_02_11,False,,2,3,1.0,,,,,,,,,3,think
d_nikke_ce_02_02_02_12,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_12,False,,3,3,1.0,,,,,,,,,3,think
d_nikke_ce_02_02_02_13,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_13,False,,3,3,1.0,,,,,,,,,3,think
d_nikke_ce_02_02_02_14,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_14,False,,3,30,1.0,,,,,,,,,3,think
d_nikke_ce_02_02_02_15,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_15,False,,30,30,1.0,,,,,,,,,3,think
d_nikke_ce_02_02_02_16,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_16,False,,30,30,1.0,,,,,,,,,3,idle
d_nikke_ce_02_02_02_17,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_17,True,,30,2,1.0,,ce_02_02,,,,,,,3,idle
d_nikke_ce_02_02_02_18,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_18,True,,2,2,1.0,,p12,,p12,1,idle,,,3,idle
d_nikke_ce_02_02_02_19,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_19,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_20,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_20,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_21,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_21,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_22,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_22,True,,2,2,1.0,,p12,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_23,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_23,True,,2,2,1.0,,p12,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_24,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_24,True,,2,2,1.0,,p12,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_25,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_25,True,,2,2,1.0,,p12,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_26,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_26,True,,2,2,1.0,,p12,,,1,idle,,,3,surprise
d_nikke_ce_02_02_02_27,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_27,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_28,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_28,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_29,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_29,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_30,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_30,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_31,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_31,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_32,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_32,False,,2,2,1.0,,,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_33,d_nikke_ce_02_02_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_02_33,False,,2,2,1.0,,,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_34,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_34,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_35,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_35,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
