id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,characters/0/hide_char_id
d_nikke_quency_escapequeen_01_1,d_nikke_quency_escapequeen_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_1,True,rapi,17,delight,anis,13,shy,neon,15,worry,CommanderRoom,130,130,1.0,bgm_story_orangepop,,,,,,,,,,
d_nikke_quency_escapequeen_01_2,d_nikke_quency_escapequeen_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_2,True,,17,delight,,13,shy,,15,worry,,130,130,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_3,d_nikke_quency_escapequeen_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_3,True,,17,delight,,13,shy,,15,worry,,130,14,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_4,d_nikke_quency_escapequeen_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_4,True,,17,delight,,13,shy,,15,worry,,14,14,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_5,d_nikke_quency_escapequeen_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_5,True,,17,delight,,13,shy,,15,worry,,14,14,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_6,d_nikke_quency_escapequeen_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_6,True,,17,delight,,13,no,,15,worry,,14,14,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_7,d_nikke_quency_escapequeen_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_7,True,,17,delight,,13,no,,15,worry,,14,14,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_8,d_nikke_quency_escapequeen_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_8,True,,17,delight,,13,no,,15,worry,,14,16,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_9,d_nikke_quency_escapequeen_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_9,True,,17,delight,,13,no,,15,worry,,16,16,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_10,d_nikke_quency_escapequeen_01,Self,rapi,,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_10,False,,17,delight,,13,no,,15,worry,,16,16,1.0,,,,,,,,,,,
d_nikke_quency_escapequeen_01_11,d_nikke_quency_escapequeen_01,Narration,rapi,,Locale_NikkeEpisode:d_nikke_quency_escapequeen_01_11,False,,17,delight,,13,no,,15,worry,,black,black,1.0,,sfx_scn_walldebris,,,,,,,,,
