id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_ce_003_02_03_1,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_1,True,Park,100,10,1.0,none,,,ce_003_02,3,idle,diesel,1,idle,girl03,13,idle,,boy03,15,idle,
d_nikke_ce_003_02_03_2,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_2,True,,10,10,1.0,bgm_story_whosdumber,sfx_scn_violin,Low_2,,3,idle,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_3,d_nikke_ce_003_02_03,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_03_3,False,,3,30,0.3,,,,,3,surprise,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_4,d_nikke_ce_003_02_03,Speech,girl03,girl03,Locale_NikkeEpisode:d_nikke_ce_003_02_03_4,False,,13,XS_130,0.3,,,,,3,surprise,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_5,d_nikke_ce_003_02_03,Speech,boy03,boy03,Locale_NikkeEpisode:d_nikke_ce_003_02_03_5,False,,15,XS_150,0.3,,,,,3,surprise,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_6,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_6,True,,10,10,1.0,,,Low_2,,3,surprise,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_7,d_nikke_ce_003_02_03,Narration,diesel,,Locale_NikkeEpisode:d_nikke_ce_003_02_03_7,False,,10,1,1.0,,,,,3,surprise,,1,delight,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_8,d_nikke_ce_003_02_03,Speech,girl03,girl03,Locale_NikkeEpisode:d_nikke_ce_003_02_03_8,True,,14,14,1.0,,,,,3,surprise,,1,idle,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_9,d_nikke_ce_003_02_03,Speech,boy03,boy03,Locale_NikkeEpisode:d_nikke_ce_003_02_03_9,True,,14,14,1.0,,,,,3,surprise,,1,idle,,13,idle,,,15,idle,
d_nikke_ce_003_02_03_10,d_nikke_ce_003_02_03,Narration,ce_003_02,,Locale_NikkeEpisode:d_nikke_ce_003_02_03_10,False,,14,14,1.0,,sfx_scn_runaway2,,,3,idle,,1,idle,,15,idle,girl03,,17,idle,boy03
d_nikke_ce_003_02_03_11,d_nikke_ce_003_02_03,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_03_11,True,,30,30,1.0,,,,,3,surprise,,1,idle,,,,,,,,
d_nikke_ce_003_02_03_12,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_12,True,,10,10,1.0,,,,,3,idle,,1,surprise,,,,,,,,
d_nikke_ce_003_02_03_13,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_13,True,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,
d_nikke_ce_003_02_03_14,d_nikke_ce_003_02_03,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_03_14,True,,30,30,1.0,,,,,3,idle,,1,idle,,,,,,,,
d_nikke_ce_003_02_03_15,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_15,True,,30,2,1.0,,,,,3,idle,,1,delight,,,,,,,,
d_nikke_ce_003_02_03_16,d_nikke_ce_003_02_03,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_03_16,True,,2,2,1.0,,,,,3,delight,,1,delight,,,,,,,,
d_nikke_ce_003_02_03_17,d_nikke_ce_003_02_03,Narration,ce_003_02,,Locale_NikkeEpisode:d_nikke_ce_003_02_03_17,False,,2,2,1.0,,,,,3,delight,,1,delight,,,,,,,,
d_nikke_ce_003_02_03_18,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_18,True,,2,2,1.0,none,,,,3,idle,,1,idle,,,,,,,,
d_nikke_ce_003_02_03_19,d_nikke_ce_003_02_03,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_03_19,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,
d_nikke_ce_003_02_03_20,d_nikke_ce_003_02_03,Speech,diesel,diesel,Locale_NikkeEpisode:d_nikke_ce_003_02_03_20,True,,2,2,1.0,bgm_story_inwonderland,,,,3,idle,,1,idle,,,,,,,,
