id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_filter_01,fade,play_sound,jump_target
d_nikke_k_05_1,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_1,False,k,1,idle,HotSpring,S_10,S_10,1.0,bgm_story_sceneofmemory,,,,,,
d_nikke_k_05_2,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_2,True,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_3,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_3,True,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_4,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_4,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_5,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_5,True,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_6,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_6,True,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_7,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_7,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_8,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_8,False,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_9,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_9,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_10,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_10,False,,1,idle,,S_10,S_100,1.3,,,,,,,
d_nikke_k_05_11,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_11,False,,1,idle,,S_100,S_100,1.0,,,,,,,
d_nikke_k_05_12,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_12,False,lordforjustice_event,1,idle,,black,black,1.0,,k,k,,,,
d_nikke_k_05_13,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_13,False,,1,idle,,lordforjustice_01,lordforjustice_01,1.0,,,,Grey,,,
d_nikke_k_05_14,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_14,False,,1,idle,,lordforjustice_01,lordforjustice_01,1.0,,k,,Grey,,,
d_nikke_k_05_15,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_15,True,,1,idle,,lordforjustice_01,lordforjustice_01,1.0,,k,,Grey,,,
d_nikke_k_05_16,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_16,True,,1,idle,,lordforjustice_01,lordforjustice_01,1.0,,k,,Grey,,,
d_nikke_k_05_17,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_17,True,k,1,think,,S_100,S_100,1.0,,k,lordforjustice_event,,black,,
d_nikke_k_05_18,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_18,True,,1,think,,S_100,S_100,1.0,,k,,,,,
d_nikke_k_05_19,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_19,False,,1,think,,S_100,S_100,1.0,,,,,,,
d_nikke_k_05_20,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_20,False,,1,think,,S_100,S_100,1.0,,,,,,,
d_nikke_k_05_21,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_21,True,,1,idle,,S_100,S_100,1.0,,k,,,,,
d_nikke_k_05_22,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_22,True,,1,idle,,S_100,S_100,1.0,,k,,,,,
d_nikke_k_05_23,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_23,True,,1,idle,,S_100,S_100,1.0,,k,,,,,
d_nikke_k_05_24,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_24,False,,1,idle,,S_100,S_100,1.0,,,,,,,
d_nikke_k_05_25,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_25,False,,1,idle,,S_100,S_10,1.3,,k,,,,,
d_nikke_k_05_26,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_26,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_27,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_27,True,,1,idle,,S_10,S_10,1.0,,k,,,,,
d_nikke_k_05_28,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_28,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_29,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_29,False,,1,idle,,S_10,S_10,1.0,,,,,,sfx_scn_feetwater,
d_nikke_k_05_30,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_30,False,,1,idle,,S_10,S_10,1.0,,,,,,,
d_nikke_k_05_31,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_31,False,,1,idle,,S_10,S_100,1.3,,k,,,,,
d_nikke_k_05_32,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_32,False,,1,idle,,black,black,1.0,,,,,,,
d_nikke_k_05_33,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_33,False,,1,idle,,black,black,1.0,,,,,,sfx_scn_undress,
d_nikke_k_05_34,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_34,False,,1,idle,,black,black,1.0,,,,,,,
d_nikke_k_05_35,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_35,False,,1,idle,,black,black,1.0,,,,,,,
d_nikke_k_05_36,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_36,False,,1,idle,,black,black,1.0,,,,,,,
d_nikke_k_05_37,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_37,False,,1,idle,,black,black,1.0,,,k,,,sfx_scn_feetwater,
d_nikke_k_05_38,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_38,False,,,,,black,black,1.0,,,,,,,
