id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/1/hide_char_id
d_nikke_elegg_05_1,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_1,True,elegg,1,idle,maxwell,13,idle,TechIndoor,12,12,1.0,bgm_story_orangepop,,,,
d_nikke_elegg_05_2,d_nikke_elegg_05,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_05_2,True,,1,idle,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_3,d_nikke_elegg_05,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_05_3,True,,1,idle,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_4,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_4,True,,1,idle,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_5,d_nikke_elegg_05,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_05_5,True,,1,idle,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_6,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_6,True,,1,idle,,13,idle,,12,130,1.0,,,,,
d_nikke_elegg_05_7,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_7,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_8,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_8,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_9,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_9,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_10,d_nikke_elegg_05,Monologue,,,Locale_NikkeEpisode:d_nikke_elegg_05_10,False,,1,idle,,13,idle,,130,12,1.0,,,,,
d_nikke_elegg_05_11,d_nikke_elegg_05,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_05_11,True,,1,delight,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_12,d_nikke_elegg_05,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_05_12,True,,1,delight,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_13,d_nikke_elegg_05,Monologue,,,Locale_NikkeEpisode:d_nikke_elegg_05_13,False,,1,idle,,13,idle,,12,12,1.0,,,,,
d_nikke_elegg_05_14,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_14,True,,1,idle,,13,idle,,12,130,1.0,,,,,
d_nikke_elegg_05_15,d_nikke_elegg_05,Self,,,Locale_NikkeEpisode:d_nikke_elegg_05_15,False,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_16,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_16,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_17,d_nikke_elegg_05,Monologue,,,Locale_NikkeEpisode:d_nikke_elegg_05_17,False,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_18,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_18,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_19,d_nikke_elegg_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_elegg_05_19,True,,1,idle,,13,idle,,130,130,1.0,,,,,
d_nikke_elegg_05_20,d_nikke_elegg_05,Self,,,Locale_NikkeEpisode:d_nikke_elegg_05_20,False,,1,idle,,13,idle,,130,130,1.0,,,,,
