id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,jump_target,set_camera_shake
d_nikke_mast_01_1,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_1,False,none,black,black,1.0,none,,,,,,,,
d_nikke_mast_01_2,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_2,False,,black,black,1.0,,,,,,,,,
d_nikke_mast_01_3,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_3,False,,black,black,1.0,,,,,,,,,
d_nikke_mast_01_4,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_4,False,ocean,S_70,7,1.0,event_bgm_goldenship,sfx_scn_wavebreak,,,,,,,
d_nikke_mast_01_5,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_5,False,,7,7,1.0,,,,,,,,,
d_nikke_mast_01_6,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_6,False,,7,7,1.0,,,jackrow,,,,,,
d_nikke_mast_01_7,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_7,False,,7,7,1.0,,,jackrow,,,,,,
d_nikke_mast_01_8,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_8,False,,7,7,1.0,,,,,,,,,
d_nikke_mast_01_9,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_9,False,,7,7,1.0,,,,,,,,,
d_nikke_mast_01_10,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_10,False,,7,7,1.0,,,,,,,,,
d_nikke_mast_01_11,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_11,False,CommanderRoom,7,1,1.0,bgm_story_languor,,,mast,1,idle,,,
d_nikke_mast_01_12,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_12,True,,1,1,1.0,,,mast,,1,angry2,mast,,
