id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_anne_miraclefairy_02_1,d_nikke_anne_miraclefairy_02,Narration,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_1,False,Cafe,5,3,2.0,sfx_scn_autodooropen,bgm_story_heynewbie,,,,anne,3,idle,,,,,,,,
d_nikke_anne_miraclefairy_02_2,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_2,True,,3,3,1.0,,,unknown,unknown,,,3,idle,,,,,,,,
d_nikke_anne_miraclefairy_02_3,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_3,True,,3,1,2.0,,,anne,anne,,,3,shy,emma_c,1,idle,,exia_c,13,idle,
d_nikke_anne_miraclefairy_02_4,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_4,True,,1,10,1.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_5,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_5,True,,10,10,1.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_6,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_6,True,,10,12,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,delight,
d_nikke_anne_miraclefairy_02_7,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_7,True,,12,12,1.0,,,anne,anne,,,3,delight,,1,idle,,,13,delight,
d_nikke_anne_miraclefairy_02_8,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_8,True,,12,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_9,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_9,True,,XS_30,XS_30,1.0,,,anne,anne,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_10,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_10,True,,XS_30,XS_30,1.0,,,anne,anne,,,3,delight,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_11,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_11,True,,XS_30,2,1.0,,,emma_c,emma_c,,,3,delight,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_12,d_nikke_anne_miraclefairy_02,Narration,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_12,False,,2,2,1.0,,,emma_c,,,,3,idle,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_13,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_13,True,,S_130,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_14,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_14,True,,XS_30,XS_300,2.0,,,anne,anne,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_15,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_15,True,,XS_300,XS_300,1.0,,,anne,anne,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_16,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_16,True,,XS_300,XS_300,1.0,,,anne,anne,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_17,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_17,True,,10,10,1.0,,,emma_c,emma_c,,,3,shy,,1,surprise,,,13,idle,
d_nikke_anne_miraclefairy_02_18,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_18,True,,10,12,1.0,,,emma_c,emma_c,,,3,shy,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_19,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_19,True,,12,12,1.0,,,exia_c,exia_c,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_20,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_20,True,,12,12,1.0,,,exia_c,exia_c,,,3,shy,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_21,d_nikke_anne_miraclefairy_02,Self,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_21,False,,12,12,1.0,,,exia_c,,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_22,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_22,True,,12,12,1.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_23,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_23,True,,12,12,1.0,,,exia_c,exia_c,,,3,idle,,1,delight,,,13,idle,
d_nikke_anne_miraclefairy_02_24,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_24,True,,12,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_25,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_25,True,,S_130,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_26,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_26,True,,S_130,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,idle,
d_nikke_anne_miraclefairy_02_27,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_27,True,,S_130,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,delight,
d_nikke_anne_miraclefairy_02_28,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_28,True,,S_130,10,1.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,13,delight,
d_nikke_anne_miraclefairy_02_29,d_nikke_anne_miraclefairy_02,Narration,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_29,False,,black,black,1.0,,none,emma_c,,,,3,idle,,1,delight,,,13,surprise,
d_nikke_anne_miraclefairy_02_30,d_nikke_anne_miraclefairy_02,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_30,False,,10,100,0.5,,,emma_c,,,,3,idle,,1,delight,,,13,surprise,
d_nikke_anne_miraclefairy_02_31,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_31,True,,100,100,2.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,13,surprise,
d_nikke_anne_miraclefairy_02_32,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_32,True,,100,S_1300,0.5,,,exia_c,exia_c,,,3,idle,,1,delight,,,13,surprise,
d_nikke_anne_miraclefairy_02_33,d_nikke_anne_miraclefairy_02,Self,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_33,False,,S_1300,S_1300,1.0,,,exia_c,,,,3,idle,,1,idle,,,13,surprise,
d_nikke_anne_miraclefairy_02_34,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_34,True,,S_1300,S_130,2.0,,bgm_story_herecomestrouble,exia_c,exia_c,,,3,idle,,1,idle,,,13,sad,
d_nikke_anne_miraclefairy_02_35,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_35,True,,S_130,S_130,1.0,,,exia_c,exia_c,,,3,idle,,1,idle,,,13,sad,
d_nikke_anne_miraclefairy_02_36,d_nikke_anne_miraclefairy_02,Narration,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_36,False,,black,black,1.0,sfx_scn_down,,exia_c,,,,3,idle,,1,idle,,,13,sad,exia_c
d_nikke_anne_miraclefairy_02_37,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_37,True,,S_130,10,2.0,,,emma_c,emma_c,,,3,idle,,1,delight,,,,,
d_nikke_anne_miraclefairy_02_38,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_38,True,,XS_30,XS_30,1.0,,,anne,anne,,,3,pain,,1,idle,,,,,
d_nikke_anne_miraclefairy_02_39,d_nikke_anne_miraclefairy_02,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_02_39,True,,XS_30,XS_30,1.0,,,anne,anne,,,3,shy,,1,idle,,,,,
