id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_moran_03_1,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_1,True,Park,10,10,1.0,bgm_story_languor,,,,moran,1,idle
d_nikke_moran_03_2,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_2,True,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_3,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_3,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_4,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_4,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_5,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_5,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_6,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_6,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_7,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_7,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_8,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_8,True,,10,100,1.0,,,,,,1,idle
d_nikke_moran_03_9,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_9,True,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_10,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_10,True,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_11,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_11,False,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_12,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_12,True,City_d,100,10,1.0,,black,,,,1,think
d_nikke_moran_03_13,d_nikke_moran_03,Narration,,,Locale_NikkeEpisode:d_nikke_moran_03_13,False,,10,10,1.0,,,sfx_scn_pendrag,,,1,think
d_nikke_moran_03_14,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_14,False,,10,10,1.0,,,,,,1,think
d_nikke_moran_03_15,d_nikke_moran_03,Monologue,,,Locale_NikkeEpisode:d_nikke_moran_03_15,False,,10,10,1.0,,,,,,1,think
d_nikke_moran_03_16,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_16,True,,10,10,1.0,,,,,,1,think
d_nikke_moran_03_17,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_17,False,,10,10,1.0,,,,,,1,think
d_nikke_moran_03_18,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_18,False,,10,10,1.0,,,,,,1,think
d_nikke_moran_03_19,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_19,True,,10,100,1.0,,,,,,1,idle
d_nikke_moran_03_20,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_20,True,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_21,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_21,False,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_22,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_22,True,,100,100,1.0,,,,,,1,idle
d_nikke_moran_03_23,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_23,True,,100,100,1.0,,,,,,1,delight
d_nikke_moran_03_24,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_24,True,,100,100,1.0,,,,,,1,delight
d_nikke_moran_03_25,d_nikke_moran_03,Monologue,,,Locale_NikkeEpisode:d_nikke_moran_03_25,False,,black,black,1.0,,black,,,,1,delight
d_nikke_moran_03_26,d_nikke_moran_03,Monologue,,,Locale_NikkeEpisode:d_nikke_moran_03_26,False,,black,black,1.0,,,,,,1,delight
d_nikke_moran_03_27,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_27,True,,100,10,1.0,,,,,,1,delight
d_nikke_moran_03_28,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_28,True,,10,10,1.0,,,,,,1,delight
d_nikke_moran_03_29,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_29,False,,10,10,1.0,,,,,,1,delight
d_nikke_moran_03_30,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_30,True,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_31,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_31,False,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_32,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_32,True,,10,10,1.0,,,,,,1,idle
d_nikke_moran_03_33,d_nikke_moran_03,Choice,,,Locale_NikkeEpisode:d_nikke_moran_03_33,False,,10,10,1.0,,,,d_nikke_moran_03_35,,1,idle
d_nikke_moran_03_34,d_nikke_moran_03,Choice,,,Locale_NikkeEpisode:d_nikke_moran_03_34,False,,10,10,1.0,,,,d_nikke_moran_03_36,,1,idle
d_nikke_moran_03_35,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_35,True,,10,10,1.0,,,,d_nikke_moran_03_37,,1,idle
d_nikke_moran_03_36,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_36,True,,10,10,1.0,,,,d_nikke_moran_03_37,,1,idle
d_nikke_moran_03_37,d_nikke_moran_03,Speech,unknown,unknown,Locale_NikkeEpisode:d_nikke_moran_03_37,True,,10,1,1.0,,,,,,1,idle
d_nikke_moran_03_38,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_38,True,,1,1,1.0,,,,,,1,idle
d_nikke_moran_03_39,d_nikke_moran_03,Speech,purewoman,purewoman,Locale_NikkeEpisode:d_nikke_moran_03_39,True,,1,10,1.0,,,,,,1,idle
d_nikke_moran_03_40,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_40,True,,10,10,1.0,,,,,,1,delight
d_nikke_moran_03_41,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_41,True,,10,10,1.0,,,,,,1,delight
d_nikke_moran_03_42,d_nikke_moran_03,Speech,purewoman,purewoman,Locale_NikkeEpisode:d_nikke_moran_03_42,True,,10,10,1.0,,,,,,1,delight
d_nikke_moran_03_43,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_43,True,,10,10,1.0,,,,,,1,worry
d_nikke_moran_03_44,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_44,False,,10,10,1.0,,,,,,1,worry
d_nikke_moran_03_45,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_45,True,,10,1,1.0,,,,,,1,worry
d_nikke_moran_03_46,d_nikke_moran_03,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_03_46,True,,1,1,1.0,,,,,,1,worry
d_nikke_moran_03_47,d_nikke_moran_03,Self,,,Locale_NikkeEpisode:d_nikke_moran_03_47,False,,1,1,1.0,,,,,,1,worry
