id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/0/hide_char_id,set_filter_01,set_filter_02,jump_target,set_camera_shake,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_neon_blueocean_05_1,d_nikke_neon_blueocean_05,Narration,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_1,False,Beach_s,5,1,2.0,sfx_scn_bigwavebreak,ambient_scn_wind,,,,,,,,,,,,,,
d_nikke_neon_blueocean_05_2,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_2,False,,1,XS_10,2.0,,,neon_s,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_3,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_3,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_4,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_4,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_5,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_5,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_6,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_6,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_7,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_7,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_8,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_8,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_9,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_9,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_10,d_nikke_neon_blueocean_05,Speech,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_10,True,,XS_10,XS_10,1.0,,,,1,angry,neon_s,,,,,,,,,,
d_nikke_neon_blueocean_05_11,d_nikke_neon_blueocean_05,Narration,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_11,False,,XS_10,XS_30,2.0,,bgm_story_lastbullet,,1,angry,,,,,,,,,,,
d_nikke_neon_blueocean_05_12,d_nikke_neon_blueocean_05,Monologue,neon_s,Locale_NikkeEpisode:d_nikke_neon_blueocean_05_12,False,,XS_30,XS_30,1.0,,,,1,angry,,,,,,,,,,,
