id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_nikke_ce_02_01_03_1,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_1,True,ce_02_01,1,idle,rapi,13,idle,Factory,13,130,1.0,event_bgm_ce002_story_3,
d_nikke_ce_02_01_03_2,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_2,True,,1,idle,,13,idle,,130,130,1.0,,
d_nikke_ce_02_01_03_3,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_3,True,,1,idle,,13,idle,,130,130,1.0,,
d_nikke_ce_02_01_03_4,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_4,True,,1,idle,,13,idle,,130,130,1.0,,
d_nikke_ce_02_01_03_5,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_5,True,,1,idle,,13,idle,,130,113,1.0,,
d_nikke_ce_02_01_03_6,d_nikke_ce_02_01_03,Speech,ce_02_01,ce_02_01,Locale_NikkeEpisode:d_nikke_ce_02_01_03_6,True,,1,idle,,13,idle,,113,113,1.0,,
d_nikke_ce_02_01_03_7,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_7,True,,1,idle,,13,idle,,113,113,1.0,,
d_nikke_ce_02_01_03_8,d_nikke_ce_02_01_03,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_03_8,False,,1,idle,,13,idle,TrainingField,black,black,1.0,,
d_nikke_ce_02_01_03_9,d_nikke_ce_02_01_03,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_03_9,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_knock
d_nikke_ce_02_01_03_10,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_10,False,,1,idle,,13,idle,,130,130,1.0,,
d_nikke_ce_02_01_03_11,d_nikke_ce_02_01_03,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_03_11,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_knock
d_nikke_ce_02_01_03_12,d_nikke_ce_02_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_03_12,False,,1,idle,,13,idle,,130,130,1.0,,
