id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,jump_target,play_sound,set_camera_shake
d_nikke_sakura_bloominsummer_04_1,d_nikke_sakura_bloominsummer_04,Speech,sakura_s,sakura_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_1,True,sakura_s,2,idle,UninhabitedIsland_s,20,20,1.0,bgm_story_summermood,,,,,,,,,
d_nikke_sakura_bloominsummer_04_2,d_nikke_sakura_bloominsummer_04,Speech,sakura_s,sakura_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_2,True,,2,idle,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_3,d_nikke_sakura_bloominsummer_04,Speech,sakura_s,sakura_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_3,True,,2,idle,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_4,d_nikke_sakura_bloominsummer_04,Speech,sakura_s,sakura_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_4,True,,2,idle,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_5,d_nikke_sakura_bloominsummer_04,Self,sakura_s,,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_5,False,,2,idle,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_6,d_nikke_sakura_bloominsummer_04,Speech,sakura_s,sakura_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_6,True,,2,surprise,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_7,d_nikke_sakura_bloominsummer_04,Self,sakura_s,,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_7,False,,2,surprise,,20,20,1.0,,,,,,,,,,
d_nikke_sakura_bloominsummer_04_8,d_nikke_sakura_bloominsummer_04,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_8,True,,2,surprise,CoralIslandInside_s,120,120,1.0,,sakura_s,mary_s,12,idle,black,,,,
d_nikke_sakura_bloominsummer_04_9,d_nikke_sakura_bloominsummer_04,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_9,True,,,,,120,120,1.0,,,,12,idle,,,,,
d_nikke_sakura_bloominsummer_04_10,d_nikke_sakura_bloominsummer_04,Self,mary_s,,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_04_10,False,,,,,120,120,1.0,,,,12,idle,,,,,
