id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,set_camera_shake,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_noah_04_1,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_1,True,noah,1,pain,IceLand_02,1,1,1.0,bgm_story_armageddon,,,,,,,,,,,,,,,,
d_nikke_noah_04_2,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_2,True,,1,pain,,1,5,0.5,,,,,,,,,,,,,,,,,
d_nikke_noah_04_3,d_nikke_noah_04,Self,noah,Self,Locale_NikkeEpisode:d_nikke_noah_04_3,False,,1,pain,,5,5,1.0,,,,,,,,,,,,,,,,,
d_nikke_noah_04_4,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_4,True,,1,angry,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_noah_04_5,d_nikke_noah_04,Narration,noah,Narration,Locale_NikkeEpisode:d_nikke_noah_04_5,False,,1,angry,,black,black,1.0,,c232_ult_invinsible,,,,,,,,,,,,,,,
d_nikke_noah_04_6,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_6,True,,1,pain,,1,S_10,1.0,,,,,,,,,,,,,,,,,
d_nikke_noah_04_7,d_nikke_noah_04,Monologue,noah,Monologue,Locale_NikkeEpisode:d_nikke_noah_04_7,False,,12,pain,,black,black,1.0,,,littlenikke,2,idle,Vignetting,,,,,,,,,,,
d_nikke_noah_04_8,d_nikke_noah_04,Self,noah,Self,Locale_NikkeEpisode:d_nikke_noah_04_8,False,,12,shy,,1,1,1.0,,,,2,idle,Vignetting,,,,,,,,,,,
d_nikke_noah_04_9,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_9,True,,12,surprise,,1,1,1.0,,,,2,idle,Vignetting,,,,,,,,,,,
d_nikke_noah_04_10,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_10,True,,12,pain,,1,1,1.0,,,,2,idle,Vignetting,,,,,,,,,,,
d_nikke_noah_04_11,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_11,True,,12,pain,,1,1,1.0,,,,2,idle,Vignetting,,,,,,,,,,,
d_nikke_noah_04_12,d_nikke_noah_04,Speech,noah,noah,Locale_NikkeEpisode:d_nikke_noah_04_12,True,,12,pain,,1,1,1.0,,,,2,idle,Vignetting,,,,,,,,,,,
