id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound
d_nikke_ce006_03_03_1,d_nikke_ce006_03_03,Monologue,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_1,False,ce006_npc_01,3,idle,ce006_03,1,no,elegg,13,idle,artcity_d,2,2,1.0,bgm_chapter37_field_swarmnest,,
d_nikke_ce006_03_03_2,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_2,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,ce006_03,
d_nikke_ce006_03_03_3,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_3,True,,3,idle,,1,no,,13,idle,,2,12,1.3,,elegg,
d_nikke_ce006_03_03_4,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_4,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_5,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_5,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_6,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_6,False,,3,idle,,1,no,,13,idle,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_7,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_7,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_8,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_8,True,,3,idle,,1,no,,13,idle,,30,30,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_9,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_9,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_10,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_10,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_11,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_11,True,,3,idle,,1,no,,13,delight,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_12,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_12,True,,3,idle,,1,no,,13,delight,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_13,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_13,True,,3,idle,,1,no,,13,delight,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_14,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_14,True,,3,idle,,1,no,,13,delight,,12,S_130,1.3,,elegg,
d_nikke_ce006_03_03_15,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_15,True,,3,idle,,1,no,,13,delight,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_16,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_16,True,,3,think,,1,no,,13,delight,,30,30,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_17,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_17,True,,3,think,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_18,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_18,True,,3,think,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_19,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_19,True,,3,think,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_20,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_20,True,,3,think,,1,idle,,13,idle,,S_130,12,1.3,,ce006_03,
d_nikke_ce006_03_03_21,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_21,True,,3,think,,1,idle,,13,idle,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_22,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_22,True,,3,think,,1,delight,,13,idle,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_23,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_23,True,,3,think,,1,idle,,13,idle,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_24,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_24,True,,3,idle,,1,idle,,13,idle,,12,2,1.3,,ce006_npc_01,
d_nikke_ce006_03_03_25,d_nikke_ce006_03_03,Narration,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_25,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,sfx_scn_tools
d_nikke_ce006_03_03_26,d_nikke_ce006_03_03,Narration,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_26,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,sfx_scn_metalpartsassemble
d_nikke_ce006_03_03_27,d_nikke_ce006_03_03,Narration,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_27,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,
d_nikke_ce006_03_03_28,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_28,True,,3,idle,,1,no,,13,idle,,1,S_10,1.3,,ce006_03,
d_nikke_ce006_03_03_29,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_29,False,,3,idle,,1,no,,13,idle,,S_10,S_10,1.0,,ce006_03,
d_nikke_ce006_03_03_30,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_30,True,,3,idle,,1,sad,,13,idle,,S_10,S_10,1.0,,ce006_03,
d_nikke_ce006_03_03_31,d_nikke_ce006_03_03,Narration,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_31,False,,3,idle,,1,sad,,13,idle,,S_10,S_10,1.0,,,
