id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_drake_01_1,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_1,True,NikkeRoom,1,1,1.0,bgm_story_tepidappleade,,,drake,1,idle
treasurestory_drake_01_2,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_2,True,,1,10,1.0,,,,,1,idle
treasurestory_drake_01_3,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_3,True,,10,100,1.5,,,,,1,delight
treasurestory_drake_01_4,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_4,True,,100,100,1.0,,,,,1,delight
treasurestory_drake_01_5,treasurestory_drake_01,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_01_5,False,,100,100,1.0,,sfx_scn_medhit,Low_2,,1,delight
treasurestory_drake_01_6,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_6,True,,100,10,1.0,,,,,1,idle
treasurestory_drake_01_7,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_7,True,,10,10,1.0,,,,,1,idle
treasurestory_drake_01_8,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_8,True,,10,10,1.0,,,,,1,angry
treasurestory_drake_01_9,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_9,True,,10,100,1.0,,,,,1,angry
treasurestory_drake_01_10,treasurestory_drake_01,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_01_10,False,,100,100,1.0,,,,,1,angry
treasurestory_drake_01_11,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_11,True,,100,100,1.0,,,,,1,angry
treasurestory_drake_01_12,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_12,True,,100,100,1.0,,,,,1,idle
treasurestory_drake_01_13,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_13,True,,100,100,1.0,,,,,1,idle
treasurestory_drake_01_14,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_14,True,,100,100,1.0,,,,,1,idle
treasurestory_drake_01_15,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_15,True,,100,100,1.0,,,,,1,idle
treasurestory_drake_01_16,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_16,False,,100,100,1.0,,,,,1,idle
treasurestory_drake_01_17,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_17,True,,100,10,1.0,,,,,1,idle
treasurestory_drake_01_18,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_18,True,,10,10,1.0,,,,,1,idle
treasurestory_drake_01_19,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_19,True,,10,10,1.0,,,,,1,idle
treasurestory_drake_01_20,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_20,True,,10,10,1.0,,,,,1,idle
treasurestory_drake_01_21,treasurestory_drake_01,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_01_21,True,,10,10,1.0,,,,,1,idle
