id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound
d_nikke_snowwhite_04_1,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_1,False,WasteLand_01,1,1,1.0,bgm_mystery,Blur_Low,,,,,,,
d_nikke_snowwhite_04_2,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_2,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_3,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_3,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_4,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_4,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_5,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_5,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_6,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_6,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_7,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_7,False,,1,1,1.0,,Blur_Low,Low_1,,,,,,
d_nikke_snowwhite_04_8,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_8,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_9,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_9,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_10,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_10,False,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_snowwhite_04_11,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_11,True,,L_10,L_10,1.0,,None,,snowwhite,snowwhite,1,idle,,
d_nikke_snowwhite_04_12,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_12,False,,L_10,L_10,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_13,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_13,True,,L_10,1,1.0,,,,snowwhite,,1,pain,,
d_nikke_snowwhite_04_14,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_14,True,,1,1,1.0,,,,snowwhite,,1,pain,,
d_nikke_snowwhite_04_15,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_15,False,,1,1,1.0,,,,snowwhite,,1,pain,,
d_nikke_snowwhite_04_16,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_16,True,,1,1,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_17,d_nikke_snowwhite_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_04_17,False,,1,1,1.0,,,Low_2,snowwhite,,1,idle,,
d_nikke_snowwhite_04_18,d_nikke_snowwhite_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_04_18,False,,black,black,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_19,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_19,True,,1,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_20,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_20,False,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_21,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_21,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_22,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_22,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_23,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_23,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_24,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_24,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_25,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_25,False,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_26,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_26,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_27,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_27,True,,L_100,L_100,1.0,,,,snowwhite,,1,idle,,
d_nikke_snowwhite_04_28,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_28,False,,L_100,L_100,1.0,,,,snowwhite,,1,angry,,
d_nikke_snowwhite_04_29,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_29,True,,L_100,1,0.5,,,,snowwhite,,1,angry,,
d_nikke_snowwhite_04_30,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_30,True,,1,1,1.0,,,,snowwhite,,1,angry,,
d_nikke_snowwhite_04_31,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_31,False,,1,1,1.0,,,,snowwhite,,1,angry,,
d_nikke_snowwhite_04_32,d_nikke_snowwhite_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_04_32,False,,black,black,1.0,,,,snowwhite,,9,angry,,
d_nikke_snowwhite_04_33,d_nikke_snowwhite_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_04_33,False,,9,9,1.0,,,,snowwhite,,9,idle,,
d_nikke_snowwhite_04_34,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_34,True,,9,9,1.0,,,,snowwhite,,9,idle,,
d_nikke_snowwhite_04_35,d_nikke_snowwhite_04,Speech,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_04_35,False,,9,9,1.0,,,,snowwhite,,9,idle,,
d_nikke_snowwhite_04_36,d_nikke_snowwhite_04,Self,Self,Locale_NikkeEpisode:d_nikke_snowwhite_04_36,False,,9,9,1.0,,,,snowwhite,,9,idle,,
