id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,jump_target,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
d_nikke_emma_03_1,d_nikke_emma_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_emma_03_1,True,Hospital,100,100,1.0,none,Grey,Blur_Middle,,,,,,,,,,,
d_nikke_emma_03_2,d_nikke_emma_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_emma_03_2,True,,100,100,1.0,,Grey,Blur_Low,,,,,,,,,,,
d_nikke_emma_03_3,d_nikke_emma_03,Choice,,Locale_NikkeEpisode:d_nikke_emma_03_3,False,,100,100,1.0,,Grey,,d_nikke_emma_03_5,,,,,,,,,,
d_nikke_emma_03_4,d_nikke_emma_03,Choice,,Locale_NikkeEpisode:d_nikke_emma_03_4,False,,100,100,1.0,,Grey,,d_nikke_emma_03_18,,,,,,,,,,
d_nikke_emma_03_5,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_5,True,,100,100,1.0,,Grey,,,emma,emma,1,special,,,,,,
d_nikke_emma_03_6,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_6,True,,100,100,1.0,,Grey,,,emma,,1,special,,,,,,
d_nikke_emma_03_7,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_7,False,,100,100,1.0,,Grey,,,emma,,1,special,,,,,,
d_nikke_emma_03_8,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_8,True,,100,10,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_9,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_9,True,,10,10,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_10,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_10,True,,10,10,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_11,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_11,True,,10,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_12,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_12,True,,10,10,1.0,bgm_story_sunshinesorrow,Grey,,,emma,,1,delight,,,,,,
d_nikke_emma_03_13,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_13,False,,10,10,1.0,,Grey,,,emma,,1,delight,,,,,,
d_nikke_emma_03_14,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_14,True,,10,10,1.0,,Grey,,,emma,,1,delight,,,,,,
d_nikke_emma_03_15,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_15,True,,10,10,1.0,,Grey,,,emma,,1,delight,,,,,,
d_nikke_emma_03_16,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_16,True,,10,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_17,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_17,True,,10,10,1.0,,Grey,,d_nikke_emma_03_33,emma,,1,idle,,,,,,
d_nikke_emma_03_18,d_nikke_emma_03,Monologue,,Locale_NikkeEpisode:d_nikke_emma_03_18,False,,100,100,1.0,,Grey,,,,,,,,,,,,
d_nikke_emma_03_19,d_nikke_emma_03,Monologue,,Locale_NikkeEpisode:d_nikke_emma_03_19,False,,100,100,1.0,,Grey,,,,,,,,,,,,
d_nikke_emma_03_20,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_20,False,,100,100,1.0,bgm_story_sunshinesorrow,Grey,,,,,,,,,,,,
d_nikke_emma_03_21,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_21,True,,100,100,1.0,,Grey,,,emma,emma,1,shy,,,,,,
d_nikke_emma_03_22,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_22,True,,100,100,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_23,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_23,True,,100,100,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_24,d_nikke_emma_03,Choice,,Locale_NikkeEpisode:d_nikke_emma_03_24,False,,100,100,1.0,,Grey,,d_nikke_emma_03_26,emma,,1,angry,,,,,,
d_nikke_emma_03_25,d_nikke_emma_03,Choice,,Locale_NikkeEpisode:d_nikke_emma_03_25,False,,100,100,1.0,,Grey,,d_nikke_emma_03_26,emma,,1,angry,,,,,,
d_nikke_emma_03_26,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_26,True,,100,100,1.0,,Grey,,,emma,,1,angry,,,,,,
d_nikke_emma_03_27,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_27,True,,100,100,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_28,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_28,False,,100,100,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_29,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_29,False,,100,100,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_30,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_30,True,,100,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_31,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_31,True,,10,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_32,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_32,True,,10,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_33,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_33,False,,10,10,1.0,,Grey,,,emma,,1,idle,,,,,,
d_nikke_emma_03_34,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_34,True,,10,10,1.0,,Grey,,,emma,,1,worry,,,,,,
d_nikke_emma_03_35,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_35,True,,10,10,1.0,,Grey,,,emma,,1,worry,,,,,,
d_nikke_emma_03_36,d_nikke_emma_03,Self,,Locale_NikkeEpisode:d_nikke_emma_03_36,False,,10,10,1.0,,Grey,,,emma,,1,worry,,,,,,
d_nikke_emma_03_37,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_37,True,EventScene_Main_01_02_bg,marian_event_02_04,marian_event_02_04,1.0,,Grey,,,emma,,1,worry,emma,marian_event_02,event,idle,black,
d_nikke_emma_03_38,d_nikke_emma_03,Speech,emma,Locale_NikkeEpisode:d_nikke_emma_03_38,True,,marian_event_02_04,marian_event_02_04,1.0,,Grey,,,,,,,,,event,idle,,
