id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_image,set_camera_shake,set_filter_01,play_sound,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,highlight,speaker,characters/0/hide_char_id
d_nikke_dolla_03_1,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_1,False,CommanderRoom_n,5,1,2.0,none,,,,,,,,,,,,,
d_nikke_dolla_03_2,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_2,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_dolla_03_3,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_3,False,,1,1,1.0,bgm_story_kneeldownfools,underwear,Low_2,,,,,,,,,,,
d_nikke_dolla_03_4,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_4,False,,1,1,1.0,,,,Blur_Middle,,,,,,,,,,
d_nikke_dolla_03_5,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_5,False,,1,1,1.0,,none,,Blur_Middle,sfx_scn_sofasheet,,,,,,,,,
d_nikke_dolla_03_6,d_nikke_dolla_03,Narration,Locale_NikkeEpisode:d_nikke_dolla_03_6,False,,1,1,1.0,,,,,sfx_scn_phonevibration,m_nikke_dolla_03_01,,,,,,,,
d_nikke_dolla_03_7,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_7,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_dolla_03_8,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_8,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_dolla_03_9,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_9,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_dolla_03_10,d_nikke_dolla_03,Narration,Locale_NikkeEpisode:d_nikke_dolla_03_10,False,City_d,1,1,1.0,none,,,,,m_nikke_dolla_03_02,black,,,,,,,
d_nikke_dolla_03_11,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_11,False,,1,1,1.0,,,,,,,,dolla,1,no,,,,
d_nikke_dolla_03_12,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_12,False,,1,1,1.0,,,,,,,,,1,no,,,,
d_nikke_dolla_03_13,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_13,False,,1,1,1.0,,,,,,,,,1,no,,,,
d_nikke_dolla_03_14,d_nikke_dolla_03,Choice,Locale_NikkeEpisode:d_nikke_dolla_03_14,False,,1,1,1.0,,,,,,,,,1,no,d_nikke_dolla_03_16,,,
d_nikke_dolla_03_15,d_nikke_dolla_03,Choice,Locale_NikkeEpisode:d_nikke_dolla_03_15,False,,1,1,1.0,,,,,,,,,1,no,d_nikke_dolla_03_19,,,
d_nikke_dolla_03_16,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_16,False,,1,1,1.0,,,,,,,,,1,no,,,,
d_nikke_dolla_03_17,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_17,False,,1,1,1.0,,,,,,,,,1,no,,,,
d_nikke_dolla_03_18,d_nikke_dolla_03,Monologue,Locale_NikkeEpisode:d_nikke_dolla_03_18,False,,1,1,1.0,,,,,,,,,1,no,d_nikke_dolla_03_19,,,
d_nikke_dolla_03_19,d_nikke_dolla_03,Speech,Locale_NikkeEpisode:d_nikke_dolla_03_19,False,,1,S_10,3.0,bgm_story_crawlinganxiety,,,,sfx_scn_running,,,,1,"expression_0,angry",,dolla,dolla,
