id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_ludmilla_winterowner_04_1,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_1,False,White,1,1,1.0,bgm_story_crawlinganxiety,,,,,,,,
d_nikke_ludmilla_winterowner_04_2,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_2,False,,1,1,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_3,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_3,False,,1,1,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_4,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_4,False,black,1,1,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_5,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_5,False,,1,1,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_6,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_6,False,,1,1,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_7,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_7,False,RoyalRoad,1,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_8,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_8,False,,10,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_9,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_9,False,,10,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_10,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_10,False,,10,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_11,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_11,False,,10,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_12,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_12,False,,10,10,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_13,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_13,False,,black,black,1.0,,Red,Vignetting,,,,,,
d_nikke_ludmilla_winterowner_04_14,d_nikke_ludmilla_winterowner_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_14,False,HotSpringInnIn_n,black,black,1.0,,,,,,,,,
d_nikke_ludmilla_winterowner_04_15,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_15,False,,1,1,1.0,none,,,ludmilla_w,ludmilla_w,ludmilla_w,1,think,
d_nikke_ludmilla_winterowner_04_16,d_nikke_ludmilla_winterowner_04,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_16,False,,1,1,1.0,,,,ludmilla_w,,,1,think,
d_nikke_ludmilla_winterowner_04_17,d_nikke_ludmilla_winterowner_04,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_17,False,,1,1,1.0,,,,ludmilla_w,,,1,think,
d_nikke_ludmilla_winterowner_04_18,d_nikke_ludmilla_winterowner_04,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_18,False,,1,1,1.0,,,,ludmilla_w,,,1,think,
d_nikke_ludmilla_winterowner_04_19,d_nikke_ludmilla_winterowner_04,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_19,False,,1,1,1.0,,,,ludmilla_w,,,1,think,
d_nikke_ludmilla_winterowner_04_20,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_20,True,,1,10,1.0,bgm_story_fairytalesend_if,,,ludmilla_w,ludmilla_w,,1,think,
d_nikke_ludmilla_winterowner_04_21,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_21,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
d_nikke_ludmilla_winterowner_04_22,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_22,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
d_nikke_ludmilla_winterowner_04_23,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_23,True,RoyalRoad,10,6,1.0,,,,ludmilla_w,ludmilla_w,,1,think,ludmilla_w
d_nikke_ludmilla_winterowner_04_24,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_24,True,,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
d_nikke_ludmilla_winterowner_04_25,d_nikke_ludmilla_winterowner_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_25,False,,6,6,1.0,,,,ludmilla_w,,,,,
d_nikke_ludmilla_winterowner_04_26,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_26,True,,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
d_nikke_ludmilla_winterowner_04_27,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_27,True,,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
d_nikke_ludmilla_winterowner_04_28,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_28,True,Church,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
d_nikke_ludmilla_winterowner_04_29,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_29,True,,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
d_nikke_ludmilla_winterowner_04_30,d_nikke_ludmilla_winterowner_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_winterowner_04_30,True,,6,6,1.0,,,,ludmilla_w,ludmilla_w,,,,
