id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_rapi_04_1,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_1,True,Restaurant,1,1,1.0,bgm_story_backtonormal,,,,rapi,1,idle,,,,,
d_nikke_rapi_04_2,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_2,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_3,d_nikke_rapi_04,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_04_3,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_4,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_4,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_5,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_5,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_6,d_nikke_rapi_04,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_04_6,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_7,d_nikke_rapi_04,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_04_7,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_8,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_8,False,,1,1,1.0,,,,,,1,think,,,,,
d_nikke_rapi_04_9,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_9,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_10,d_nikke_rapi_04,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_04_10,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_11,d_nikke_rapi_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_04_11,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_rapi_04_12,d_nikke_rapi_04,Narration,rapi,Narration,Locale_NikkeEpisode:d_nikke_rapi_04_12,False,,black,black,1.0,,,,,,1,idle,,,,,
