id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_object,set_object_position,play_sound
treasurestory_poli_06_1,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_1,True,poli,1,idle,CommanderRoom,XS_10,XS_10,1.0,none,,,,
treasurestory_poli_06_2,treasurestory_poli_06,Monologue,poli,,Locale_NikkeEpisode:treasurestory_poli_06_2,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_3,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_3,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_4,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_4,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_5,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_5,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_6,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_6,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_7,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_7,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_8,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_8,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_9,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_9,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_10,treasurestory_poli_06,Self,poli,,Locale_NikkeEpisode:treasurestory_poli_06_10,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_11,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_11,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_12,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_12,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_13,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_13,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_14,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_14,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_15,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_15,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_16,treasurestory_poli_06,Self,poli,,Locale_NikkeEpisode:treasurestory_poli_06_16,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_17,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_17,True,,1,idle,,XS_10,XS_10,1.0,bgm_story_sceneofmemory,,,,
treasurestory_poli_06_18,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_18,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_19,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_19,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_20,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_20,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_21,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_21,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_22,treasurestory_poli_06,Self,poli,,Locale_NikkeEpisode:treasurestory_poli_06_22,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_23,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_23,True,,1,idle,,XS_10,XS_100,1.3,,,,,
treasurestory_poli_06_24,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_24,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_25,treasurestory_poli_06,Self,poli,,Locale_NikkeEpisode:treasurestory_poli_06_25,False,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_26,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_26,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_27,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_27,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_28,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_28,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_29,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_29,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_30,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_30,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_31,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_31,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_32,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_32,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_33,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_33,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_34,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_34,True,,1,idle,,XS_100,XS_100,1.0,,,,,
treasurestory_poli_06_35,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_35,True,,1,idle,,XS_100,XS_10,1.0,,,,,
treasurestory_poli_06_36,treasurestory_poli_06,Self,poli,,Locale_NikkeEpisode:treasurestory_poli_06_36,False,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_37,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_37,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_38,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_38,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_39,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_39,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_40,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_40,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_41,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_41,True,,1,idle,,XS_10,XS_10,1.0,,,,,
treasurestory_poli_06_42,treasurestory_poli_06,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_poli_06_42,True,,1,idle,,XS_10,XS_10,1.0,,,,,
