id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,conversation_id,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_d_02_1,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_1,False,CommanderRoom,1,10,1.0,bgm_story_fairytalesend_if,,,,,,,d,1,idle
d_nikke_d_02_2,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_2,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_d_02_3,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_3,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_d_02_4,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_4,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_5,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_5,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_6,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_6,False,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_7,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_7,True,,10,1,2.0,,d,d,,,,,,1,idle
d_nikke_d_02_8,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_8,False,,1,1,1.0,,d,,d_nikke_d_02_10,,,,,1,idle
d_nikke_d_02_9,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_9,False,,1,1,1.0,,d,,d_nikke_d_02_10,,,,,1,idle
d_nikke_d_02_10,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_10,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_11,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_11,True,,1,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_12,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_12,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_13,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_13,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_14,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_14,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_15,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_15,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_16,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_16,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_17,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_17,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_18,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_18,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_19,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_19,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_20,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_20,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_21,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_21,False,,10,10,1.0,,d,,d_nikke_d_02_23,,,,,1,idle
d_nikke_d_02_22,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_22,False,,10,10,1.0,,d,,d_nikke_d_02_23,,,,,1,idle
d_nikke_d_02_23,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_23,False,,10,100,2.0,,d,,,,,,,1,angry
d_nikke_d_02_24,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_24,True,,100,100,1.0,,d,d,,,,,,1,angry
d_nikke_d_02_25,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_25,False,,100,100,1.0,,d,,,,,,,1,angry
d_nikke_d_02_26,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_26,False,,100,500,2.0,,d,,,,,,,1,idle
d_nikke_d_02_27,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_27,False,,500,500,1.0,,d,,,,,,,1,idle
d_nikke_d_02_28,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_28,False,,500,500,1.0,,d,,d_nikke_d_02_35,,,,,1,idle
d_nikke_d_02_29,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_29,False,,500,500,1.0,,d,,d_nikke_d_02_31,,,,,1,idle
d_nikke_d_02_30,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_30,False,,500,500,1.0,,d,,d_nikke_d_02_33,,,,,1,idle
d_nikke_d_02_31,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_31,False,,500,500,1.0,,d,,,,,,,1,idle
d_nikke_d_02_32,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_32,False,,500,500,1.0,,d,,d_nikke_d_02_35,,,,,1,idle
d_nikke_d_02_33,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_33,False,,500,500,1.0,,d,,,,,,,1,idle
d_nikke_d_02_34,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_34,False,,500,500,1.0,,d,,d_nikke_d_02_35,,,,,1,idle
d_nikke_d_02_35,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_35,False,,500,500,1.0,,d,,,m_nikke_d_02,,,,1,idle
d_nikke_d_02_36,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_36,False,,500,100,2.0,,d,,,,,,,1,idle
d_nikke_d_02_37,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_37,True,,100,100,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_38,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_38,False,CityForest_03_d,black,black,1.0,none,d,,,,black,,,1,idle
d_nikke_d_02_39,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_39,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_40,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_40,False,,1,1,1.0,,d,,d_nikke_d_02_42,,,,,1,idle
d_nikke_d_02_41,d_nikke_d_02,Choice,Locale_NikkeEpisode:d_nikke_d_02_41,False,,1,1,1.0,,d,,d_nikke_d_02_43,,,,,1,idle
d_nikke_d_02_42,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_42,True,,1,1,1.0,,d,d,d_nikke_d_02_44,,,,,1,think
d_nikke_d_02_43,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_43,True,,1,1,1.0,,d,d,d_nikke_d_02_44,,,,,1,think
d_nikke_d_02_44,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_44,True,,1,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_45,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_45,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_46,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_46,False,,10,10,1.0,bgm_story_backtonormal,d,,,,,,,1,idle
d_nikke_d_02_47,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_47,False,,10,100,1.0,,d,d,,,,,,1,angry
d_nikke_d_02_48,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_48,False,,100,100,1.0,,d,,,,,,,1,angry
d_nikke_d_02_49,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_49,False,,100,100,1.0,,d,,,,,,,1,angry
d_nikke_d_02_50,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_50,False,,100,100,1.0,,d,,,,,,,1,angry
d_nikke_d_02_51,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_51,False,,100,100,1.0,,d,,,,,,,1,angry
d_nikke_d_02_52,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_52,False,,100,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_53,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_53,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_54,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_54,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_55,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_55,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_56,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_56,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_57,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_57,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_58,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_58,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_59,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_59,True,,10,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_60,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_60,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_61,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_61,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_62,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_62,False,,1,1,1.0,,d,,,,,,,1,idle
d_nikke_d_02_63,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_63,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_64,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_64,True,,1,1,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_65,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_65,False,,1,1,1.0,,d,,,,,,,1,idle
d_nikke_d_02_66,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_66,False,,1,1,1.0,,d,,,,,,,1,idle
d_nikke_d_02_67,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_67,False,,1,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_68,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_68,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_69,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_69,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_70,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_70,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_71,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_71,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_72,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_72,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_73,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_73,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_74,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_74,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_75,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_75,False,,10,10,1.0,,d,,,,,,,1,think
d_nikke_d_02_76,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_76,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_77,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_77,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_78,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_78,False,RuinIndoor,10,10,1.0,none,d,,,,black,,,1,idle
d_nikke_d_02_79,d_nikke_d_02,Narration,Locale_NikkeEpisode:d_nikke_d_02_79,False,,10,10,1.0,,d,,,,,sfx_scn_crackle,,1,idle
d_nikke_d_02_80,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_80,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_81,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_81,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_82,d_nikke_d_02,Narration,Locale_NikkeEpisode:d_nikke_d_02_82,False,,10,10,1.0,,d,,,,,sfx_scn_windowclack,,1,idle
d_nikke_d_02_83,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_83,False,,10,1,1.0,,d,,,,,,,1,idle
d_nikke_d_02_84,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_84,True,,1,1,1.0,bgm_story_fairytalesend_if,d,d,,,,,,1,think
d_nikke_d_02_85,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_85,True,,1,1,1.0,,d,d,,,,,,1,think
d_nikke_d_02_86,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_86,False,,1,1,1.0,,d,,,,,,,1,think
d_nikke_d_02_87,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_87,True,,1,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_88,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_88,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_89,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_89,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_90,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_90,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_91,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_91,True,,10,10,1.0,,d,d,,,,,,1,think
d_nikke_d_02_92,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_92,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_93,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_93,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_94,d_nikke_d_02,Monologue,Locale_NikkeEpisode:d_nikke_d_02_94,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_95,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_95,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_96,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_96,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_97,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_97,False,,10,100,2.0,,d,d,,,,,,1,idle
d_nikke_d_02_98,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_98,False,,100,100,1.0,,d,,,,,,,1,idle
d_nikke_d_02_99,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_99,False,,100,100,1.0,,d,,,,,,,1,idle
d_nikke_d_02_100,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_100,True,,100,10,2.0,,d,d,,,,,,1,idle
d_nikke_d_02_101,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_101,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_102,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_102,True,,10,10,1.0,,d,d,,,,,,1,idle
d_nikke_d_02_103,d_nikke_d_02,Self,Locale_NikkeEpisode:d_nikke_d_02_103,False,,10,10,1.0,,d,,,,,,,1,idle
d_nikke_d_02_104,d_nikke_d_02,Speech,Locale_NikkeEpisode:d_nikke_d_02_104,True,,10,10,1.0,,d,d,,,,,,1,idle
