id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_filter_01,jump_target,fade,play_sound,set_camera_shake
d_nikke_crow_01_1,d_nikke_crow_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_01_1,False,Jail,9,7,2.0,bgm_recognition_underworld,,,,,,,,,,
d_nikke_crow_01_2,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_2,True,,7,7,1.0,,crow,crow,7,smile,,,,,,
d_nikke_crow_01_3,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_3,True,,7,7,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_4,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_4,True,,7,70,2.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_5,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_5,True,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_6,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_6,False,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_7,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_7,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_8,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_8,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_9,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_9,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_10,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_10,False,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_11,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_11,True,Police,70,70,1.0,,crow,,7,idle,crow,Grey,,,,
d_nikke_crow_01_12,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_12,True,,70,70,1.0,,crow,,,,,Grey,,,,
d_nikke_crow_01_13,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_13,True,Jail,70,70,1.0,,crow,crow,7,idle,,,,,,
d_nikke_crow_01_14,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_14,False,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_15,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_15,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_16,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_16,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_17,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_17,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_18,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_18,False,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_19,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_19,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_20,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_20,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_21,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_21,True,,70,70,1.0,,crow,,7,smile,,,,,,
