id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,play_sound,jump_target,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_02,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_rosanna_03_1,d_nikke_rosanna_03,Monologue,Locale_NikkeEpisode:d_nikke_rosanna_03_1,False,CommanderRoom,1,1,1.0,none,Blur_High,,,,,,,,,,,,,,,,,,,,,,
d_nikke_rosanna_03_2,d_nikke_rosanna_03,Monologue,Locale_NikkeEpisode:d_nikke_rosanna_03_2,False,,1,1,1.0,,Blur_Middle,,,,,,,,,,,,,,,,,,,,,,
d_nikke_rosanna_03_3,d_nikke_rosanna_03,Monologue,Locale_NikkeEpisode:d_nikke_rosanna_03_3,False,,1,1,1.0,,Blur_Low,,,,,,,,,,,,,,,,,,,,,,
d_nikke_rosanna_03_4,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_4,True,,1,1,1.0,event_bgm_queensorder,,consigliere_op,consigliere,consigliere_op,OP_leftup,idle,rosanna,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_5,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_5,True,,1,1,1.0,,,rosanna,rosanna,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_6,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_6,True,,1,1,1.0,,,rosanna,rosanna,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_7,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_7,True,,1,1,1.0,,,consigliere_op,consigliere,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_8,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_8,True,,1,1,1.0,,,consigliere_op,consigliere,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_9,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_9,True,,1,1,1.0,,,consigliere_op,consigliere,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
d_nikke_rosanna_03_10,d_nikke_rosanna_03,Speech,Locale_NikkeEpisode:d_nikke_rosanna_03_10,False,,1,1,1.0,,,rosanna,rosanna,,OP_leftup,idle,,1,angry,,,,,,,,,,,,,,
