id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,jump_target,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id,set_object,set_object_position
treasurestory_viper_06_1,treasurestory_viper_06,Monologue,viper,Locale_NikkeEpisode:treasurestory_viper_06_1,False,viper,2,idle,Hotel,2,2,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,
treasurestory_viper_06_2,treasurestory_viper_06,Monologue,viper,Locale_NikkeEpisode:treasurestory_viper_06_2,False,,2,idle,,2,2,1.0,,,,,,,,,,,,,
treasurestory_viper_06_3,treasurestory_viper_06,Self,viper,Locale_NikkeEpisode:treasurestory_viper_06_3,False,,2,idle,,2,2,1.0,,,,,,,,,,,,,
treasurestory_viper_06_4,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_4,True,,2,delight,,2,20,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_5,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_5,True,,2,good,,20,20,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_6,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_6,True,,2,good,,20,20,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_7,treasurestory_viper_06,Self,viper,Locale_NikkeEpisode:treasurestory_viper_06_7,False,,2,good,,20,20,1.0,,,,,,,,,,,,,
treasurestory_viper_06_8,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_8,True,,2,good,,20,200,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_9,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_9,True,,2,delight,,200,200,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_10,treasurestory_viper_06,Speech,viper,Locale_NikkeEpisode:treasurestory_viper_06_10,True,,2,delight,,200,200,1.0,,viper,,,,,,,,,,,
treasurestory_viper_06_11,treasurestory_viper_06,Narration,viper,Locale_NikkeEpisode:treasurestory_viper_06_11,False,,2,delight,,200,200,1.0,,,sfx_scn_clap,,,,,,,,,,
