id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,conversation_id,characters/0/hide_char_id,characters/1/hide_char_id,fade,jump_target,set_camera_shake,play_sound
d_nikke_mihara_02_1,d_nikke_mihara_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_02_1,False,Desert_01,1,1,1.0,none,Grey,,,,,,,,,,,,,,
d_nikke_mihara_02_2,d_nikke_mihara_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_02_2,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,
d_nikke_mihara_02_3,d_nikke_mihara_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_02_3,False,IceLand_01,1,1,1.0,,Grey,,,,,,,,,,,,,,
d_nikke_mihara_02_4,d_nikke_mihara_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_02_4,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,
d_nikke_mihara_02_5,d_nikke_mihara_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_02_5,False,CommanderRoom,black,black,1.0,,,anis,2,idle,neon,12,idle,,,,,,,,
d_nikke_mihara_02_6,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_6,True,,1,1,1.0,bgm_menu_commandersroom,,,2,idle,,12,surprise,neon,,,,,,,
d_nikke_mihara_02_7,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_7,True,,1,1,1.0,,,,2,worry,,12,surprise,anis,,,,,,,
d_nikke_mihara_02_8,d_nikke_mihara_02,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_02_8,False,,1,1,1.0,,,,2,worry,,12,surprise,anis,,,,,,,
d_nikke_mihara_02_9,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_9,True,,1,1,1.0,,,,2,idle,,12,surprise,neon,,,,,,,
d_nikke_mihara_02_10,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_10,True,,1,1,1.0,,,,2,idle,,12,surprise,anis,,,,,,,
d_nikke_mihara_02_11,d_nikke_mihara_02,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_02_11,False,,1,1,1.0,,,,2,idle,,12,surprise,anis,,,,,,,
d_nikke_mihara_02_12,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_12,True,,1,1,1.0,,,,2,worry,,12,idle,anis,,,,,,,
d_nikke_mihara_02_13,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_13,True,,1,1,1.0,,,,2,worry,,12,no,neon,,,,,,,
d_nikke_mihara_02_14,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_14,True,,1,1,1.0,,,,2,worry,,12,no,anis,,,,,,,
d_nikke_mihara_02_15,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_15,True,,1,1,1.0,,,,2,worry,,12,no,anis,,,,,,,
d_nikke_mihara_02_16,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_16,True,,1,120,1.0,,,,2,worry,,12,delight,neon,,,,,,,
d_nikke_mihara_02_17,d_nikke_mihara_02,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_02_17,False,,120,120,1.0,,,,2,worry,,12,delight,neon,,,,,,,
d_nikke_mihara_02_18,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_18,True,,120,120,1.0,,,,2,idle,,12,idle,neon,,,,,,,
d_nikke_mihara_02_19,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_19,True,,120,120,1.0,,,,2,idle,,12,idle,neon,,,,,,,
d_nikke_mihara_02_20,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_20,True,,120,120,1.0,,,,2,idle,,12,idle,neon,,,,,,,
d_nikke_mihara_02_21,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_21,True,,20,20,1.0,,,,2,no,,12,idle,anis,,,,,,,
d_nikke_mihara_02_22,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_22,True,,20,120,1.0,,,,2,no,,12,no,neon,,,,,,,
d_nikke_mihara_02_23,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_23,True,,120,120,1.0,,,,2,no,,12,no,neon,,,,,,,
d_nikke_mihara_02_24,d_nikke_mihara_02,Speech,neon,Locale_NikkeEpisode:d_nikke_mihara_02_24,True,,120,120,1.0,,,,2,no,,12,no,neon,,,,,,,
d_nikke_mihara_02_25,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_25,True,,120,1,1.0,,,,2,no,,12,no,anis,,,,,,,
d_nikke_mihara_02_26,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_26,True,,1,1,1.0,,,,2,no,,12,no,anis,,,,,,,
d_nikke_mihara_02_27,d_nikke_mihara_02,Speech,anis,Locale_NikkeEpisode:d_nikke_mihara_02_27,True,,1,1,1.0,,,,2,idle,,12,no,anis,,,,,,,
d_nikke_mihara_02_28,d_nikke_mihara_02,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_02_28,False,,1,1,1.0,,,,2,idle,,12,no,anis,m_nikke_mihara_02,,,,,,
d_nikke_mihara_02_29,d_nikke_mihara_02,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_02_29,False,,1,1,1.0,,,,2,idle,,12,no,anis,,,,,,,
