id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target,characters/0/hide_char_id,set_object,set_object_position
treasurestory_helm_06_1,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_1,False,RuinIndoor,10,10,1.0,none,,,,,,,,,,
treasurestory_helm_06_2,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_2,False,,10,10,1.0,,,,,,,,,,,
treasurestory_helm_06_3,treasurestory_helm_06,Narration,Locale_NikkeEpisode:treasurestory_helm_06_3,False,,10,10,1.3,,helm,helm,1,idle,sfx_scn_dooropen,,,,,
treasurestory_helm_06_4,treasurestory_helm_06,Speech,Locale_NikkeEpisode:treasurestory_helm_06_4,True,,10,10,1.0,,helm,,1,idle,,helm,,,,
treasurestory_helm_06_5,treasurestory_helm_06,Speech,Locale_NikkeEpisode:treasurestory_helm_06_5,True,,10,10,1.0,,helm,,1,idle,,helm,,,,
treasurestory_helm_06_6,treasurestory_helm_06,Self,Locale_NikkeEpisode:treasurestory_helm_06_6,False,,10,10,1.0,,helm,,1,idle,,,,,,
treasurestory_helm_06_7,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_7,False,,black,black,1.0,bgm_story_flipflop,helm,,1,delight,,,,,,
treasurestory_helm_06_8,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_8,False,,black,black,1.0,,helm,,1,delight,,,,,,
treasurestory_helm_06_9,treasurestory_helm_06,Speech,Locale_NikkeEpisode:treasurestory_helm_06_9,False,,10,10,1.0,,helm,,1,idle,,helm,,,,
treasurestory_helm_06_10,treasurestory_helm_06,Self,Locale_NikkeEpisode:treasurestory_helm_06_10,False,,10,10,1.0,,helm,,1,idle,,,,,,
treasurestory_helm_06_11,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_11,False,,10,10,1.0,,helm,,1,idle,,,,,,
treasurestory_helm_06_12,treasurestory_helm_06,Narration,Locale_NikkeEpisode:treasurestory_helm_06_12,False,,10,100,1.3,,helm,,1,idle,sfx_scn_emptyshell,,,,,
treasurestory_helm_06_13,treasurestory_helm_06,Monologue,Locale_NikkeEpisode:treasurestory_helm_06_13,False,,100,100,1.0,,helm,,1,idle,,,,,,
