id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_n102_03_1,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_1,False,Hospital,1,1,1.0,none,,,,n102,1,idle,
d_nikke_n102_03_2,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_2,True,,1,1,1.0,,,,,,1,idle,
d_nikke_n102_03_3,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_3,True,,1,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_4,d_nikke_n102_03,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_03_4,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_5,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_5,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_6,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_6,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_7,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_7,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_8,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_8,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_9,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_9,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_10,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_10,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_11,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_11,True,,XS_10,1,1.0,,,,,,1,delight,
