id,group_id,speech_window,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_filter_01
d_nikke_alice_05_1,d_nikke_alice_05,Narration,Locale_NikkeEpisode:d_nikke_alice_05_1,none,S_10,S_10,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,
d_nikke_alice_05_2,d_nikke_alice_05,Narration,Locale_NikkeEpisode:d_nikke_alice_05_2,,S_10,S_10,1.0,,alice,,,,,,,,,,,,,
d_nikke_alice_05_3,d_nikke_alice_05,Narration,Locale_NikkeEpisode:d_nikke_alice_05_3,,S_10,S_10,1.0,,alice,,,,,,,,,,,,,
d_nikke_alice_05_4,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_4,Hospital,3,3,1.0,,mustang,mustang,True,mustang,3,surprise,,,,,,,,
d_nikke_alice_05_5,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_5,,3,2,1.0,,alice,alice,True,,3,surprise,alice,1,idle,,,,,
d_nikke_alice_05_6,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_6,,2,L_30,0.5,,mustang,mustang,True,,3,angry,,1,surprise,Low_2,,,,
d_nikke_alice_05_7,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_7,,L_30,L_30,1.0,,mustang,mustang,True,,3,angry,,1,idle,,,,,
d_nikke_alice_05_8,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_8,,L_30,L_30,1.0,,mustang,mustang,True,,3,angry,,1,idle,,,,,
d_nikke_alice_05_9,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_9,,L_30,L_30,1.0,,mustang,mustang,True,,3,angry,,1,idle,,,,,
d_nikke_alice_05_10,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_10,,L_30,2,2.0,,mustang,mustang,True,,3,angry,,1,idle,,,,,
d_nikke_alice_05_11,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_11,,2,2,1.0,,mustang,mustang,True,,3,angry,,1,idle,,,,,
d_nikke_alice_05_12,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_12,,2,2,1.0,,alice,alice,False,,3,angry,,1,surprise,,,,,
d_nikke_alice_05_13,d_nikke_alice_05,Speech,Locale_NikkeEpisode:d_nikke_alice_05_13,,2,L_30,0.5,,mustang,mustang,True,,3,angry,,1,surprise,,,,,
