id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,jump_target
d_nikke_vesti_tactical_02_1,d_nikke_vesti_tactical_02,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_1,True,eunhwa_t,3,idle,emma_t,5,idle,Armory,4,4,1.0,bgm_story_epicjazzymoods,,,,,,,,,
d_nikke_vesti_tactical_02_2,d_nikke_vesti_tactical_02,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_2,True,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_3,d_nikke_vesti_tactical_02,Self,eunhwa_t,,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_3,False,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_4,d_nikke_vesti_tactical_02,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_4,True,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_5,d_nikke_vesti_tactical_02,Speech,eunhwa_t,unknown,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_5,False,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_6,d_nikke_vesti_tactical_02,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_6,True,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_7,d_nikke_vesti_tactical_02,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_7,True,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_8,d_nikke_vesti_tactical_02,Self,emma_t,,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_8,False,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_9,d_nikke_vesti_tactical_02,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_9,True,,3,idle,,5,delight,,4,4,1.0,,,,,,,,,,
d_nikke_vesti_tactical_02_10,d_nikke_vesti_tactical_02,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_02_10,True,,3,angry,,5,delight,,4,4,1.0,,,,,,,,,,
