id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_k_10_1,d_counseling_k_10,Monologue,0,k,Locale_Counseling:d_counseling_k_10_1,False,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,,,,,,
d_counseling_k_10_2,d_counseling_k_10,Narration,0,k,Locale_Counseling:d_counseling_k_10_2,False,,S_10,S_10,1.0,,sfx_scn_autodooropen,,,,,,
d_counseling_k_10_3,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_3,True,,S_10,S_10,1.0,,,k,k,1,angry,,
d_counseling_k_10_4,d_counseling_k_10,Monologue,0,k,Locale_Counseling:d_counseling_k_10_4,False,,S_10,S_10,1.0,,,,,1,angry,,
d_counseling_k_10_5,d_counseling_k_10,Choice,120,k,Locale_Counseling:d_counseling_k_10_5,False,,S_10,S_10,1.0,,,,,1,angry,d_counseling_k_10_7,
d_counseling_k_10_6,d_counseling_k_10,Choice,100,k,Locale_Counseling:d_counseling_k_10_6,False,,S_10,S_10,1.0,,,,,1,angry,d_counseling_k_10_11,
d_counseling_k_10_7,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_7,True,,S_10,S_100,0.5,,,k,,1,surprise,,
d_counseling_k_10_8,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_8,True,,S_100,S_100,1.0,,,k,,1,good,,
d_counseling_k_10_9,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_9,True,,S_100,S_100,1.0,,,k,,1,good,,
d_counseling_k_10_10,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_10,True,,S_100,S_100,1.0,,,k,,1,good,d_counseling_k_10_14,
d_counseling_k_10_11,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_11,True,,S_10,S_100,1.0,,,k,,1,think,,
d_counseling_k_10_12,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_12,True,,S_100,S_100,1.0,,,k,,1,think,,
d_counseling_k_10_13,d_counseling_k_10,Speech,0,k,Locale_Counseling:d_counseling_k_10_13,True,,S_100,S_100,1.0,,,k,,1,think,d_counseling_k_10_14,
d_counseling_k_10_14,d_counseling_k_10,Narration,0,k,Locale_Counseling:d_counseling_k_10_14,False,none,S_100,S_100,1.0,,,,,1,idle,,k
