id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_rosanna_17_1,d_counseling_rosanna_17,Monologue,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_1,False,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,,,rosanna,1,delight,
d_counseling_rosanna_17_2,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_2,True,,10,10,1.0,,rosanna,,,,,1,delight,
d_counseling_rosanna_17_3,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_3,True,,10,10,1.0,,rosanna,,,,,1,delight,
d_counseling_rosanna_17_4,d_counseling_rosanna_17,Choice,120,rosanna,Locale_Counseling:d_counseling_rosanna_17_4,False,,10,10,1.0,,,d_counseling_rosanna_17_6,,,,1,delight,
d_counseling_rosanna_17_5,d_counseling_rosanna_17,Choice,100,rosanna,Locale_Counseling:d_counseling_rosanna_17_5,False,,10,10,1.0,,,d_counseling_rosanna_17_10,,,,1,delight,
d_counseling_rosanna_17_6,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_6,True,,10,100,1.0,,rosanna,,,,,1,idle,
d_counseling_rosanna_17_7,d_counseling_rosanna_17,Narration,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_7,False,,100,100,1.0,,,,sfx_scn_finishshot,Low_2,,1,idle,
d_counseling_rosanna_17_8,d_counseling_rosanna_17,Monologue,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_8,False,,100,100,1.0,,,,,,,1,idle,
d_counseling_rosanna_17_9,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_9,True,,100,100,1.0,,rosanna,d_counseling_rosanna_17_14,,,,1,good,
d_counseling_rosanna_17_10,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_10,True,,10,100,1.0,,rosanna,,,,,1,idle,
d_counseling_rosanna_17_11,d_counseling_rosanna_17,Narration,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_11,False,,100,100,1.0,,,,sfx_scn_finishshot,Low_2,,1,idle,
d_counseling_rosanna_17_12,d_counseling_rosanna_17,Monologue,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_12,False,,100,100,1.0,,,,,,,1,idle,
d_counseling_rosanna_17_13,d_counseling_rosanna_17,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_13,True,,100,100,1.0,,rosanna,d_counseling_rosanna_17_14,,,,1,idle,
d_counseling_rosanna_17_14,d_counseling_rosanna_17,Narration,0,rosanna,Locale_Counseling:d_counseling_rosanna_17_14,False,none,100,100,1.0,,,,,,,1,idle,rosanna
