id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound,set_camera_shake
d_counseling_vesti_tactical_15_1,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_1,True,vesti_t,1,idle,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,,,
d_counseling_vesti_tactical_15_2,d_counseling_vesti_tactical_15,Monologue,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_2,False,,1,idle,,XS_10,XS_10,1.0,,,,,
d_counseling_vesti_tactical_15_3,d_counseling_vesti_tactical_15,Monologue,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_3,False,,1,idle,,XS_10,XS_10,1.0,,,,,
d_counseling_vesti_tactical_15_4,d_counseling_vesti_tactical_15,Choice,100,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_4,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_vesti_tactical_15_6,,,
d_counseling_vesti_tactical_15_5,d_counseling_vesti_tactical_15,Choice,120,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_5,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_vesti_tactical_15_16,,,
d_counseling_vesti_tactical_15_6,d_counseling_vesti_tactical_15,Monologue,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_6,False,,1,idle,,XS_10,XS_10,1.0,,,,,
d_counseling_vesti_tactical_15_7,d_counseling_vesti_tactical_15,Self,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_7,False,,1,idle,,XS_10,XS_100,0.5,,,,,
d_counseling_vesti_tactical_15_8,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_8,True,,1,worry,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_9,d_counseling_vesti_tactical_15,Monologue,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_9,False,,1,worry,,black,black,1.0,,,vesti_t,,
d_counseling_vesti_tactical_15_10,d_counseling_vesti_tactical_15,Self,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_10,False,,,,,black,black,1.0,,,,,
d_counseling_vesti_tactical_15_11,d_counseling_vesti_tactical_15,Narration,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_11,False,,,,,XS_100,XS_100,1.0,,,,sfx_scn_heavytrip,Low_1
d_counseling_vesti_tactical_15_12,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_12,True,vesti_t,1,worry,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_13,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_13,True,,1,worry,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_14,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_14,True,,1,worry,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_15,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_15,True,,1,worry,,XS_100,XS_100,1.0,,d_counseling_vesti_tactical_15_22,,,
d_counseling_vesti_tactical_15_16,d_counseling_vesti_tactical_15,Self,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_16,False,,1,idle,,XS_10,XS_10,1.0,,,,,
d_counseling_vesti_tactical_15_17,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_17,True,,1,delight,,XS_10,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_18,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_18,True,,1,delight,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_19,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_19,True,,1,delight,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_20,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_20,True,,1,delight,,XS_100,XS_100,1.0,,,,,
d_counseling_vesti_tactical_15_21,d_counseling_vesti_tactical_15,Speech,0,vesti_t,vesti_t,Locale_Counseling:d_counseling_vesti_tactical_15_21,True,,1,delight,,XS_100,XS_100,1.0,,d_counseling_vesti_tactical_15_22,,,
d_counseling_vesti_tactical_15_22,d_counseling_vesti_tactical_15,Narration,0,vesti_t,,Locale_Counseling:d_counseling_vesti_tactical_15_22,False,,1,idle,none,XS_100,XS_100,1.0,,,vesti_t,,
