id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/set_char_position,characters/0/show_char_id,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_arcana_17_1,d_counseling_arcana_17,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_17_1,False,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,,1,,,
d_counseling_arcana_17_2,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_2,True,,L_10,L_10,1.0,,arcana,,1,arcana,think_02,
d_counseling_arcana_17_3,d_counseling_arcana_17,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_17_3,False,,L_10,L_10,1.0,,,,1,,think_02,
d_counseling_arcana_17_4,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_4,True,,L_10,L_10,1.0,,arcana,,1,,think_02,
d_counseling_arcana_17_5,d_counseling_arcana_17,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_17_5,False,,L_10,L_10,1.0,,,,1,,think_02,
d_counseling_arcana_17_6,d_counseling_arcana_17,Choice,100,arcana,Locale_Counseling:d_counseling_arcana_17_6,False,,L_10,L_10,1.0,,,d_counseling_arcana_17_8,1,,think_02,
d_counseling_arcana_17_7,d_counseling_arcana_17,Choice,120,arcana,Locale_Counseling:d_counseling_arcana_17_7,False,,L_10,L_10,1.0,,,d_counseling_arcana_17_10,1,,think_02,
d_counseling_arcana_17_8,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_8,True,,L_10,L_100,1.0,,arcana,,1,,delight,
d_counseling_arcana_17_9,d_counseling_arcana_17,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_17_9,False,,L_100,L_100,1.0,,,d_counseling_arcana_17_17,1,,delight,
d_counseling_arcana_17_10,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_10,True,,L_10,L_100,1.0,,arcana,,1,,surprise,
d_counseling_arcana_17_11,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_11,True,,L_100,L_100,1.0,,arcana,,1,,idle,
d_counseling_arcana_17_12,d_counseling_arcana_17,Self,0,arcana,Locale_Counseling:d_counseling_arcana_17_12,False,,L_100,L_100,1.0,,,,1,,idle,
d_counseling_arcana_17_13,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_13,True,,L_100,L_100,1.0,,arcana,,1,,idle,
d_counseling_arcana_17_14,d_counseling_arcana_17,Self,0,arcana,Locale_Counseling:d_counseling_arcana_17_14,False,,L_100,L_100,1.0,,,,1,,idle,
d_counseling_arcana_17_15,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_15,True,,L_100,L_100,1.0,,arcana,,1,,smile,
d_counseling_arcana_17_16,d_counseling_arcana_17,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_17_16,True,,L_100,L_100,1.0,,arcana,d_counseling_arcana_17_17,1,,smile,
d_counseling_arcana_17_17,d_counseling_arcana_17,Narration,0,arcana,Locale_Counseling:d_counseling_arcana_17_17,False,none,L_100,L_100,1.0,,,,1,,idle,arcana
