id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_littlemermaid_19_1,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_1,False,TreeOfWater,L_10,L_10,1.0,event_bgm_oldtales_beautifulthing,,,,littlemermaid,1,idle,
d_counseling_littlemermaid_19_2,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_2,False,,L_10,L_10,1.0,,sfx_scn_waterdive,,,,1,idle,
d_counseling_littlemermaid_19_3,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_3,False,,L_10,L_10,1.0,,,,,,1,idle,
d_counseling_littlemermaid_19_4,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_4,True,,L_10,L_100,1.0,,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_19_5,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_5,True,,L_100,L_100,1.0,,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_19_6,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_6,True,,L_100,L_100,1.0,,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_19_7,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_7,True,,L_100,L_100,1.0,,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_19_8,d_counseling_littlemermaid_19,Choice,100,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_8,False,,L_100,L_100,1.0,,,none,d_counseling_littlemermaid_19_10,,1,surprise,
d_counseling_littlemermaid_19_9,d_counseling_littlemermaid_19,Choice,120,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_9,False,,L_100,L_100,1.0,,,none,d_counseling_littlemermaid_19_16,,1,surprise,
d_counseling_littlemermaid_19_10,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_10,True,,L_100,L_10,1.0,,,littlemermaid,,,1,think,
d_counseling_littlemermaid_19_11,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_11,True,,L_10,L_10,1.0,,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_19_12,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_12,False,,L_10,L_10,1.0,,,,,,1,idle,
d_counseling_littlemermaid_19_13,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_13,True,,L_10,L_10,1.0,,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_19_14,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_14,False,,L_10,L_10,1.0,,,littlemermaid,,,1,think,
d_counseling_littlemermaid_19_15,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_15,True,,L_10,L_10,1.0,,,littlemermaid,d_counseling_littlemermaid_19_21,,1,think,
d_counseling_littlemermaid_19_16,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_16,True,,L_100,L_10,1.0,,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_19_17,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_17,False,,L_10,L_10,1.0,,,,,,1,idle,
d_counseling_littlemermaid_19_18,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_18,True,,L_10,L_10,1.0,,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_19_19,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_19,True,,L_10,L_10,1.0,,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_19_20,d_counseling_littlemermaid_19,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_20,True,,L_10,L_10,1.0,,,littlemermaid,d_counseling_littlemermaid_19_21,,1,delight,
d_counseling_littlemermaid_19_21,d_counseling_littlemermaid_19,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_19_21,False,none,L_10,L_10,1.0,,,,,,1,idle,littlemermaid
