id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,speaker,characters/0/hide_char_id
d_counseling_sakura_bloominsummer_20_1,d_counseling_sakura_bloominsummer_20,Narration,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_1,False,sakura_s,1,smile,CoralIslandInside_d,10,10,1.0,sfx_scn_walkinwater,event_bgm_beautyfullshot_seasidedance,,,
d_counseling_sakura_bloominsummer_20_2,d_counseling_sakura_bloominsummer_20,Monologue,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_2,False,,1,smile,,10,10,1.0,,,,,
d_counseling_sakura_bloominsummer_20_3,d_counseling_sakura_bloominsummer_20,Choice,120,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_3,False,,1,smile,,10,10,1.0,,,d_counseling_sakura_bloominsummer_20_5,,
d_counseling_sakura_bloominsummer_20_4,d_counseling_sakura_bloominsummer_20,Choice,100,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_4,False,,1,smile,,10,10,1.0,,,d_counseling_sakura_bloominsummer_20_8,,
d_counseling_sakura_bloominsummer_20_5,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_5,True,,1,delight,,10,100,1.0,,,,sakura_s,
d_counseling_sakura_bloominsummer_20_6,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_6,True,,1,delight,,100,100,1.0,,,,sakura_s,
d_counseling_sakura_bloominsummer_20_7,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_7,True,,1,delight,,100,100,1.0,,,d_counseling_sakura_bloominsummer_20_11,sakura_s,
d_counseling_sakura_bloominsummer_20_8,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_8,True,,1,surprise,,10,100,1.0,,,,sakura_s,
d_counseling_sakura_bloominsummer_20_9,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_9,True,,1,void,,100,100,1.0,,,,sakura_s,
d_counseling_sakura_bloominsummer_20_10,d_counseling_sakura_bloominsummer_20,Speech,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_10,True,,1,void,,100,100,1.0,,,d_counseling_sakura_bloominsummer_20_11,sakura_s,
d_counseling_sakura_bloominsummer_20_11,d_counseling_sakura_bloominsummer_20,Narration,0,sakura_s,Locale_Counseling:d_counseling_sakura_bloominsummer_20_11,False,,1,idle,none,100,100,1.0,,,,,sakura_s
