id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_laplace_02_1,d_counseling_laplace_02,Monologue,0,laplace,Locale_Counseling:d_counseling_laplace_02_1,False,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,,,,,
d_counseling_laplace_02_2,d_counseling_laplace_02,Monologue,0,laplace,Locale_Counseling:d_counseling_laplace_02_2,False,,XS_10,XS_10,1.0,,,,,,,
d_counseling_laplace_02_3,d_counseling_laplace_02,Monologue,0,laplace,Locale_Counseling:d_counseling_laplace_02_3,False,,black,black,1.0,,,,,,,
d_counseling_laplace_02_4,d_counseling_laplace_02,Narration,0,laplace,Locale_Counseling:d_counseling_laplace_02_4,False,,XS_10,XS_10,1.0,,,,,,,
d_counseling_laplace_02_5,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_5,True,,XS_10,XS_10,1.0,,laplace,laplace,1,delight,,
d_counseling_laplace_02_6,d_counseling_laplace_02,Choice,100,laplace,Locale_Counseling:d_counseling_laplace_02_6,False,,XS_10,XS_10,1.0,,,,1,delight,d_counseling_laplace_02_8,
d_counseling_laplace_02_7,d_counseling_laplace_02,Choice,120,laplace,Locale_Counseling:d_counseling_laplace_02_7,False,,XS_10,XS_10,1.0,,,,1,delight,d_counseling_laplace_02_10,
d_counseling_laplace_02_8,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_8,False,,XS_10,XS_100,1.0,,laplace,,1,think,,
d_counseling_laplace_02_9,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_9,True,,XS_100,XS_100,1.0,,laplace,,1,shy,d_counseling_laplace_02_12,
d_counseling_laplace_02_10,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_10,True,,XS_10,XS_100,1.0,,laplace,,1,idle,,
d_counseling_laplace_02_11,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_11,True,,XS_100,XS_100,1.0,,laplace,,1,delight,d_counseling_laplace_02_12,
d_counseling_laplace_02_12,d_counseling_laplace_02,Self,0,laplace,Locale_Counseling:d_counseling_laplace_02_12,False,,XS_100,XS_100,1.0,,,,1,shy,,
d_counseling_laplace_02_13,d_counseling_laplace_02,Speech,0,laplace,Locale_Counseling:d_counseling_laplace_02_13,True,,XS_100,XS_100,1.0,,laplace,,1,delight,,
d_counseling_laplace_02_14,d_counseling_laplace_02,Narration,0,laplace,Locale_Counseling:d_counseling_laplace_02_14,False,none,XS_100,XS_100,1.0,,,,1,idle,,laplace
