id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,speaker,jump_target
d_counseling_hongryeon_blackshadow_11_1,d_counseling_hongryeon_blackshadow_11,Narration,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_1,False,hongryeon,1,sad,black,10,10,1.0,event_bgm_redash_alldownhill,,,
d_counseling_hongryeon_blackshadow_11_2,d_counseling_hongryeon_blackshadow_11,Narration,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_2,False,hongryeon_o,1,idle,Grassland,10,S_10,1.0,,hongryeon,,
d_counseling_hongryeon_blackshadow_11_3,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_3,True,,1,idle,,S_10,S_10,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_4,d_counseling_hongryeon_blackshadow_11,Choice,120,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_4,False,,1,idle,,S_10,S_10,1.0,,,,d_counseling_hongryeon_blackshadow_11_6
d_counseling_hongryeon_blackshadow_11_5,d_counseling_hongryeon_blackshadow_11,Choice,100,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_5,False,,1,idle,,S_10,S_10,1.0,,,,d_counseling_hongryeon_blackshadow_11_10
d_counseling_hongryeon_blackshadow_11_6,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_6,True,,1,delight,,S_10,S_100,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_7,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_7,True,,1,delight,,S_100,S_100,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_8,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_8,True,,1,delight,,S_100,S_100,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_9,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_9,True,,1,delight,,S_100,S_100,1.0,,,hongryeon_o,d_counseling_hongryeon_blackshadow_11_13
d_counseling_hongryeon_blackshadow_11_10,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_10,True,,1,angry,,S_10,S_100,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_11,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_11,True,,1,angry,,S_100,S_100,1.0,,,hongryeon_o,
d_counseling_hongryeon_blackshadow_11_12,d_counseling_hongryeon_blackshadow_11,Speech,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_12,True,,1,angry,,S_100,S_100,1.0,,,hongryeon_o,d_counseling_hongryeon_blackshadow_11_13
d_counseling_hongryeon_blackshadow_11_13,d_counseling_hongryeon_blackshadow_11,Narration,0,hongryeon_o,Locale_Counseling:d_counseling_hongryeon_blackshadow_11_13,False,,1,angry,none,S_100,S_100,1.0,,hongryeon_o,,
