id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_quiry_05_1,d_counseling_quiry_05,Narration,0,quiry,Locale_Counseling:d_counseling_quiry_05_1,True,CommanderRoom,S_10,S_10,1.0,sfx_scn_heavytrip,bgm_story_backtonormal,Low_2,,,,,,
d_counseling_quiry_05_2,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_2,True,,S_10,S_10,1.0,,,,quiry,quiry,1,surprise,,
d_counseling_quiry_05_3,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_3,True,,S_10,S_10,1.0,,,,quiry,,1,surprise,,
d_counseling_quiry_05_4,d_counseling_quiry_05,Choice,100,quiry,Locale_Counseling:d_counseling_quiry_05_4,True,,S_10,S_10,1.0,,,,,,1,surprise,d_counseling_quiry_05_6,
d_counseling_quiry_05_5,d_counseling_quiry_05,Choice,120,quiry,Locale_Counseling:d_counseling_quiry_05_5,True,,S_10,S_10,1.0,,,,,,1,surprise,d_counseling_quiry_05_8,
d_counseling_quiry_05_6,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_6,True,,S_10,S_100,1.0,,,,quiry,,1,sad,,
d_counseling_quiry_05_7,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_7,True,,S_100,S_100,1.0,,,,quiry,,1,sad,d_counseling_quiry_05_10,
d_counseling_quiry_05_8,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_8,True,,S_10,S_100,1.0,,,,quiry,,1,sad,,
d_counseling_quiry_05_9,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_9,True,,S_100,S_100,1.0,,,,quiry,,1,sad,d_counseling_quiry_05_10,
d_counseling_quiry_05_10,d_counseling_quiry_05,Speech,0,quiry,Locale_Counseling:d_counseling_quiry_05_10,True,,S_100,S_100,1.0,,,,quiry,,1,sad,,
d_counseling_quiry_05_11,d_counseling_quiry_05,Narration,0,quiry,Locale_Counseling:d_counseling_quiry_05_11,True,none,S_100,S_100,1.0,,,,,,1,sad,,quiry
