id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/set_char_position,characters/0/show_char_id,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_arcana_19_1,d_counseling_arcana_19,Narration,0,arcana,Locale_Counseling:d_counseling_arcana_19_1,False,CommanderRoom,L_10,L_10,1.0,sfx_scn_autodooropen,bgm_story_backtonormal,,,1,,,
d_counseling_arcana_19_2,d_counseling_arcana_19,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_19_2,False,,L_10,L_10,1.0,,,,,1,arcana,sad,
d_counseling_arcana_19_3,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_3,True,,L_10,L_10,1.0,,,arcana,,1,,sad,
d_counseling_arcana_19_4,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_4,True,,L_10,L_10,1.0,,,arcana,,1,,sad,
d_counseling_arcana_19_5,d_counseling_arcana_19,Self,0,arcana,Locale_Counseling:d_counseling_arcana_19_5,False,,L_10,L_10,1.0,,,,,1,,sad,
d_counseling_arcana_19_6,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_6,True,,L_10,L_10,1.0,,,arcana,,1,,idle,
d_counseling_arcana_19_7,d_counseling_arcana_19,Choice,100,arcana,Locale_Counseling:d_counseling_arcana_19_7,False,,L_10,L_10,1.0,,,,d_counseling_arcana_19_9,1,,idle,
d_counseling_arcana_19_8,d_counseling_arcana_19,Choice,120,arcana,Locale_Counseling:d_counseling_arcana_19_8,False,,L_10,L_10,1.0,,,,d_counseling_arcana_19_12,1,,idle,
d_counseling_arcana_19_9,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_9,True,,L_10,L_100,1.0,,,arcana,,1,,smile,
d_counseling_arcana_19_10,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_10,True,,L_100,L_100,1.0,,,arcana,,1,,smile,
d_counseling_arcana_19_11,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_11,True,,L_100,L_100,1.0,,,arcana,d_counseling_arcana_19_18,1,,smile,
d_counseling_arcana_19_12,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_12,True,,L_10,L_100,1.0,,,arcana,,1,,sad,
d_counseling_arcana_19_13,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_13,True,,L_100,L_100,1.0,,,arcana,,1,,sad,
d_counseling_arcana_19_14,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_14,True,,L_100,L_100,1.0,,,arcana,,1,,sad,
d_counseling_arcana_19_15,d_counseling_arcana_19,Monologue,0,arcana,Locale_Counseling:d_counseling_arcana_19_15,False,,L_100,L_100,1.0,,,,,1,,idle,
d_counseling_arcana_19_16,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_16,False,,L_100,L_100,1.0,,,arcana,,1,,idle,
d_counseling_arcana_19_17,d_counseling_arcana_19,Speech,0,arcana,Locale_Counseling:d_counseling_arcana_19_17,True,,L_100,L_100,1.0,,,arcana,d_counseling_arcana_19_18,1,,idle,
d_counseling_arcana_19_18,d_counseling_arcana_19,Narration,0,arcana,Locale_Counseling:d_counseling_arcana_19_18,False,none,L_100,L_100,1.0,,,,,1,,idle,arcana
