id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/hide_char_id
d_counseling_mori_16_1,d_counseling_mori_16,Narration,0,mori,Locale_Counseling:d_counseling_mori_16_1,False,mori,1,think,CommanderRoom,S_100,S_100,1.0,sfx_scn_find,bgm_story_backtonormal,,,
d_counseling_mori_16_2,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_2,True,,1,think,,S_100,S_100,1.0,,,mori,,
d_counseling_mori_16_3,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_3,True,,1,think,,S_100,S_100,1.0,,,mori,,
d_counseling_mori_16_4,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_4,True,,1,think,,S_100,S_10,1.0,,,mori,,
d_counseling_mori_16_5,d_counseling_mori_16,Choice,120,mori,Locale_Counseling:d_counseling_mori_16_5,False,,1,think,,S_10,S_10,1.0,,,,d_counseling_mori_16_7,
d_counseling_mori_16_6,d_counseling_mori_16,Choice,100,mori,Locale_Counseling:d_counseling_mori_16_6,False,,1,think,,S_10,S_10,1.0,,,,d_counseling_mori_16_12,
d_counseling_mori_16_7,d_counseling_mori_16,Narration,0,mori,Locale_Counseling:d_counseling_mori_16_7,False,,1,think,,S_10,S_10,1.0,sfx_scn_clothweak,,,,
d_counseling_mori_16_8,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_8,True,,1,shy_02,,S_10,S_100,1.0,,,mori,,
d_counseling_mori_16_9,d_counseling_mori_16,Self,0,mori,Locale_Counseling:d_counseling_mori_16_9,False,,1,shy_02,,S_100,S_100,1.0,,,,,
d_counseling_mori_16_10,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_10,True,,1,shy_02,,S_100,S_100,1.0,,,mori,,
d_counseling_mori_16_11,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_11,True,,1,shy_01,,S_100,S_100,1.0,,,mori,d_counseling_mori_16_17,
d_counseling_mori_16_12,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_12,True,,1,think,,S_10,S_10,1.0,,,mori,,
d_counseling_mori_16_13,d_counseling_mori_16,Self,0,mori,Locale_Counseling:d_counseling_mori_16_13,False,,1,think,,S_10,S_10,1.0,,,,,
d_counseling_mori_16_14,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_14,True,,1,think,,S_10,S_10,1.0,,,mori,,
d_counseling_mori_16_15,d_counseling_mori_16,Self,0,mori,Locale_Counseling:d_counseling_mori_16_15,False,,1,think,,S_10,S_10,1.0,,,,,
d_counseling_mori_16_16,d_counseling_mori_16,Speech,0,mori,Locale_Counseling:d_counseling_mori_16_16,True,,1,angry,,S_10,S_100,0.5,,,mori,d_counseling_mori_16_17,
d_counseling_mori_16_17,d_counseling_mori_16,Narration,0,mori,Locale_Counseling:d_counseling_mori_16_17,False,,1,idle,none,S_100,S_100,1.0,,,,,mori
